ᐱᓕᕆᕕᐊᓄᑦ	ᐱ@ᓕᕆ@ᕕ@ᐊᓄᑦ
ᑭᒃᑯᓐᓄᑦ	ᑭᒃᑯᓐ@ᓄᑦ
ᖁᓪᓕᒃ	ᖁᓪ@ᓕᒃ
ᓲᖃᐃᒻᒪᓕ	ᓲᖃᐃᒻᒪ@ᓕ
ᓄᓇᕗᒻᒥᐅᑕᐅᔪᓄᑦ	ᓄᓇᕗᒻ@ᒥᐅᑕ@ᐅ@ᔪ@ᓄᑦ
ᖁᓕᑦ	ᖁᓕᑦ
ᐊᖏᔪᒥᒃ	ᐊᖏ@ᔪ@ᒥᒃ
ᑕᒡᕙ	ᑕᒡᕙ
ᑕᒪᑐᒥᖓ	ᑕᒪᑐ@ᒥᖓ
ᐊᑭᓂᒃ	ᐊᑭ@ᓂᒃ
ᖃᐅᔨᓴᕐᓂᕐᒧᑦ	ᖃᐅᔨ@ᓴᕐ@ᓂᕐ@ᒧᑦ
ᑭᓱᓄᑦ	ᑭᓱ@ᓄᑦ
ᐊᑐᖅᑕᐅᔪᒪᔪᑦ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪᒪ@ᔪᑦ
ᐃᓕᖅᑯᓯᓕᕆᔨᒃᑯᓐᓂᑦ	ᐃᓕᖅᑯᓯ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓂᑦ
ᐃᓚᖓᑦ	ᐃᓚ@ᖓᑦ
ᐅᓂᒃᑳᖓᓂᒃ	ᐅᓂᒃᑳ@ᖓᓂᒃ
ᐱᒻᒪᕆᐅᓪᓗᓂ	ᐱ@ᒻᒪᕆ@ᐅ@ᓪᓗᓂ
ᐱᕙᓪᓕᐊᔪᓂᒃ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓂᒃ
ᑕᐃᒫᓪᓗ	ᑕᐃᒫᓪ@ᓗ
ᐅᒥᐊᕐᔪᐊᖅ	ᐅᒥᐊᕐ@ᔪᐊᖅ
ᑭᒃᑯᑐᐃᓐᓇᕐᓄᑦ	ᑭᒃᑯ@ᑐᐃᓐᓇᕐ@ᓄᑦ
ᐊᐱᖅᓱᕐᓂᖅ	ᐊᐱᖅ@ᓱᕐ@ᓂᖅ
ᑕᐃᒫᑐᐃᓐᓇᖅ	ᑕᐃᒫ@ᑐᐃᓐᓇᖅ
ᓇᒻᒥᓂ	ᓇᒻᒥᓂ
ᐃᓪᓗᖃᕐᓂᕐᒧᑦ	ᐃᓪᓗ@ᖃᕐ@ᓂᕐ@ᒧᑦ
ᒐᕙᒪ	ᒐᕙᒪ
ᕿᑎᖅᑰᒥ	ᕿᑎ@ᖅᑰ@ᒥ
ᑕᐃᒪᖃᐃ	ᑕᐃᒪ@ᖃᐃ
ᒥᑦᑎᒪᑕᓕᒻᒧᑦ	ᒥᑦᑎᒪᑕᓕᒻ@ᒧᑦ
ᓄᓇᕗᒻᒥᒃ	ᓄᓇᕗᒻ@ᒥᒃ
ᖃᐅᔨᒪᖕᒪᑕ	ᖃᐅᔨᒪ@ᖕᒪᑕ
ᑕᒪᔅᓱᒥᖓ	ᑕᒪᔅᓱ@ᒥᖓ
ᐊᕐᕌᒍᖓᓄᑦ	ᐊᕐᕌᒍ@ᖓᓄᑦ
ᐱᒃᓴᓐ	ᐱ@ᒃᓴ@ᓐ
ᐃᖏᕐᕋᔪᓕᕆᔨᒃᑯᓐᓄᑦ	ᐃᖏᕐᕋ@ᔪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓄᑦ
ᒪᒃᐱᒐᕐᒧᑦ	ᒪᒃᐱ@ᒐᕐ@ᒧᑦ
ᓈᒻᒪᖏᒻᒪᑦ	ᓈᒻᒪ@ᖏᒻ@ᒪᑦ
ᐱᓇᓱᐊᕈᓯᓕᒫᖅ	ᐱᓇᓱᐊᕈᓯ@ᓕᒫᖅ
ᐄᑐᐊᖅ	ᐄ@ᑐᐊᖅ
ᑐᕌᖓᔪᒥᑦ	ᑐᕌ@ᖓ@ᔪ@ᒥᑦ
ᐊᑐᓂ	ᐊᑐᓂ
ᐃᖅᑲᓇᐃᔮᒃᓴᑦ	ᐃᖅᑲᓇᐃᔮ@ᒃᓴ@ᑦ
ᑖᑉᓱᒥᖓ	ᑖᑉᓱ@ᒥᖓ
ᐃᓱᒪᒋᔭᐅᔪᑦ	ᐃᓱᒪ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᑕᐃᒪᐃᒻᒪᑦ	ᑕᐃᒪᐃᒻ@ᒪᑦ
ᐃᒡᓗᒧᑦ	ᐃᒡᓗ@ᒧᑦ
ᑐᑭᓕᒃ	ᑐᑭ@ᓕᒃ
ᓲᖅ	ᓲᖅ
ᑐᑭᖃᕐᒪᖔᑦ	ᑐᑭ@ᖃᕐ@ᒪᖔᑦ
ᑕᐃᒃᑯᓇᓂ	ᑕᐃᒃᑯ@ᓇᓂ
ᐅᕙᑦᑎᓐᓄᓕᒫᖅ	ᐅᕙ@ᑦᑎᓐᓄ@ᓕᒫᖅ
ᓂᕿᓂᒃ	ᓂᕿ@ᓂᒃ
ᑭᐅᔾᔪᑎᒃ	ᑭᐅ@ᔾᔪᑎᒃ
ᓯᕗᓪᓕᖅ	ᓯᕗ@ᓪᓕᖅ
ᐱᒋᐊᖅᑎᑕᖅ	ᐱ@ᒋᐊᖅ@ᑎ@ᑕᖅ
ᑕᒪᒃᓱᒧᖓ	ᑕᒪᒃᓱ@ᒧᖓ
ᓄᓇᕗᒻᒥᐅᑕᐅᔪᓂᒃ	ᓄᓇᕗᒻ@ᒥᐅᑕ@ᐅ@ᔪ@ᓂᒃ
ᐅᓄᖅᑐᑦ	ᐅᓄᖅ@ᑐᑦ
ᒥᓂᔅᑕᐅᔪᓄᑦ	ᒥᓂᔅᑕ@ᐅ@ᔪ@ᓄᑦ
ᓇᒻᒥᓂᖁᑎᖃᖅᑐᑦ	ᓇᒻᒥᓂ@ᖁᑎ@ᖃᖅ@ᑐᑦ
ᐊᐱᖅᓱᕋᕕᑦ	ᐊᐱᖅ@ᓱ@ᕋᕕᑦ
ᑭᒃᑯᓐᓂᑦ	ᑭᒃᑯᓐ@ᓂᑦ
ᑕᐃᕙᑦ	ᑕᐃ@ᕙᑦ
ᓄᖅᑲᖅᑐᑦ	ᓄᖅᑲᖅ@ᑐᑦ
ᐸᐃᑉᐹᑦ	ᐸᐃ@ᑉ@ᐹᑦ
ᑑᓄ	ᑑ@ᓄ
ᐃᓕᓐᓄᑦ	ᐃᓕ@ᓐᓄᑦ
ᑕᐃᒪ	ᑕᐃᒪ
ᑐᑭᖓᓂᒃ	ᑐᑭ@ᖓᓂᒃ
ᒐᕙᒪᒃᑯᓐᓄᑦ	ᒐᕙᒪ@ᒃᑯᓐ@ᓄᑦ
ᓯᕗᓪᓕᖅᐹᒧᑦ	ᓯᕗ@ᓪᓕᖅ@ᐹ@ᒧᑦ
ᒐᕙᒪᒧᑦ	ᒐᕙᒪ@ᒧᑦ
ᒥᑭᔪᓄᑦ	ᒥᑭ@ᔪ@ᓄᑦ
ᐃᓄᖕᒧᑦ	ᐃᓄᖕ@ᒧᑦ
ᕿᒥᕐᕈᓂᕐᒧᑦ	ᕿᒥᕐᕈ@ᓂᕐ@ᒧᑦ
ᑎᑎᖅᑲᐅᔪᓂᒃ	ᑎᑎ@ᖅᑲᐅ@ᔪ@ᓂᒃ
ᑎᑎᖅᑲᐅᔪᒥᒃ	ᑎᑎ@ᖅᑲᐅ@ᔪ@ᒥᒃ
ᐊᕐᕌᒍᒧ	ᐊᕐᕌᒍ@ᒧ
ᓄᓇᒧᑦ	ᓄᓇ@ᒧᑦ
ᑖᒻᓇ	ᑖᒻᓇ
ᐃᒻᒥᓂ	ᐃᒻᒥᓂ
ᐃᓂᒋᔭᐅᔪᑦ	ᐃᓂ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᑐᑭᖃᕐᒪᑦ	ᑐᑭ@ᖃᕐ@ᒪᑦ
ᓯᓚᑦᑐᖅᓴᕐᕕᒃ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕᒃ
ᑖᒃᑯᓇᙵᑦ	ᑖᒃᑯ@ᓇᙵᑦ
ᑕᐃᒪᐃᓐᓂᖓᓄᑦ	ᑕᐃᒪᐃᓐ@ᓂ@ᖓᓄᑦ
ᑖᓚᓂᑦ	ᑖᓚ@ᓂᑦ
ᐊᔾᔨᖓᓂᒃ	ᐊᔾᔨ@ᖓᓂᒃ
ᐃᓚᒋᐊᕈᑕᐅᔪᑦ	ᐃᓚ@ᒋᐊ@ᕈᑕ@ᐅ@ᔪᑦ
ᒐᕙᒪᑐᖃᒃᑯᓐᓄᑦ	ᒐᕙᒪ@ᑐᖃ@ᒃᑯᓐ@ᓄᑦ
ᑕᐃᒃᓱᒪ	ᑕᐃᒃᓱ@ᒪ
ᑖᑉᓱᒧᖓ	ᑖᑉᓱ@ᒧᖓ
ᒥᓂᔅᑕᖓᓐ	ᒥᓂᔅᑕ@ᖓᓐ
ᐅᒃᑯᐃᕈᓐᓇᖅᐱᐅᒃ	ᐅᒃᑯᐃ@ᕈᓐᓇᖅ@ᐱᐅᒃ
ᐊᖏᖅᑕᐅᔪᒪᓪᓗᓂ	ᐊᖏᖅ@ᑕ@ᐅ@ᔪᒪ@ᓪᓗᓂ
ᑲᓇᑕᓕᒫᒥᑦ	ᑲᓇᑕ@ᓕᒫ@ᒥᑦ
ᓇᓄᓕᕆᓂᖅ	ᓇᓄ@ᓕᕆ@ᓂᖅ
ᐅᑲᓕ	ᐅᑲᓕ
ᐊᖏᖅᐱᓯᐅ	ᐊᖏᖅ@ᐱᓯᐅ
ᐱᕙᓪᓕᐊᔭᐃᓂᕐᒧᑦ	ᐱ@ᕙᓪᓕᐊ@ᔭ@ᐃ@ᓂᕐ@ᒧᑦ
ᑕᒪᒃᓱᒥᖓ	ᑕᒪᒃᓱ@ᒥᖓ
ᐅᖃᓚᐅᕋᒪ	ᐅᖃ@ᓚᐅ@ᕋᒪ
ᑲᔪᓯᔪᓐᓇᖅᐳᑎᑦ	ᑲᔪᓯ@ᔪᓐᓇᖅ@ᐳᑎᑦ
ᕿᓂᖅᑐᑦ	ᕿᓂᖅ@ᑐᑦ
ᓇᓗᓇᐃᑲᐃᓐᓇᒃᑭᑦ	ᓇᓗᓇ@ᐃ@ᑲᐃᓐᓇ@ᒃᑭᑦ
ᐊᖏᑎᒋᔪᒥᒃ	ᐊᖏ@ᑎᒋ@ᔪ@ᒥᒃ
ᐃᖏᕐᕋᔪᓕᕆᓂᕐᒧᓪᓗ	ᐃᖏᕐᕋ@ᔪ@ᓕᕆ@ᓂᕐ@ᒧᓪ@ᓗ
ᑐᕌᖓᔪᑦ	ᑐᕌ@ᖓ@ᔪᑦ
ᐃᓚᒋᒻᒪᒍ	ᐃᓚ@ᒋ@ᒻᒪᒍ
ᐊᒻᒪᓘᓐᓃᑦ	ᐊᒻᒪ@ᓘᓐᓃᑦ
ᐅᑭᐊᒃᓵᖅ	ᐅᑭᐊᒃᓵᖅ
ᓄᓇᕗᓕᒫᒧᑦ	ᓄᓇᕗ@ᓕᒫ@ᒧᑦ
ᒐᕙᒪᑎᒍᑦ	ᒐᕙᒪ@ᑎᒍᑦ
ᐅᓇᑦᑕᐅᖅ	ᐅᓇ@ᑦᑕᐅᖅ
ᐅᓐᓃᑦ	ᐅᓐᓃᑦ
ᖁᕕᐊᓱᓚᐅᖅᐳᑦ	ᖁᕕᐊ@ᓱ@ᓚᐅᖅ@ᐳᑦ
ᐱᒋᐊᖅᑎᑕᐅᔪᒧᑦ	ᐱ@ᒋᐊᖅ@ᑎ@ᑕ@ᐅ@ᔪ@ᒧᑦ
ᓄᓇᓕᕆᓂᕐᒧᑦ	ᓄᓇ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᑕᐃᒃᓱᒧᖓ	ᑕᐃᒃᓱ@ᒧᖓ
ᑭᓱᒧᑦ	ᑭᓱ@ᒧᑦ
ᐱᖁᔭᕐᔪᐊᑉ	ᐱ@ᖁ@ᔭᕐ@ᔪᐊ@ᑉ
ᐅᖃᕐᒪᑦ	ᐅᖃᕐ@ᒪᑦ
ᓈᒻᒪᒻᒪᑦ	ᓈᒻᒪᒻ@ᒪᑦ
ᓂᕿᑦᑎᐊᕙᓕᕆᓂᖅ	ᓂᕿ@ᑦᑎᐊᕙ@ᓕᕆ@ᓂᖅ
ᑖᒃᓱᒧᖓ	ᑖᒃᓱ@ᒧᖓ
ᒫᓐᓇ	ᒫᓐᓇ
ᑭᒃᑯᓕᒫᓂᒃ	ᑭᒃᑯ@ᓕᒫ@ᓂᒃ
ᖃᖓ	ᖃᖓ
ᐃᖅᑲᓇᐃᔮᒥᒃ	ᐃᖅᑲᓇᐃᔮ@ᒥᒃ
ᐊᑐᖅᑕᐅᕙᑦᑐᑦ	ᐊᑐᖅ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᑕᒪᕐᒥᒃ	ᑕᒪᕐᒥᒃ
ᓇᖕᒥᓂ	ᓇᖕᒥᓂ
ᑭᓯᐊᓂᐅᒻᒪᑦ	ᑭᓯ@ᐊ@ᓂ@ᐅ@ᒻᒪᑦ
ᐃᒃᑲᕆᐊᓗᒃ	ᐃᒃᑲᕆ@ᐊ@ᓗᒃ
ᐊᐃᑉᐸᖓᓂᒃ	ᐊᐃᑉᐸ@ᖓᓂᒃ
ᐱᖃᓐᓇᕆᔭᕋ	ᐱᖃᓐᓇᕆᔭ@ᕋ
ᖃᒪᓂᖅᑐᐊᑉ	ᖃᒪᓂᖅᑐᐊ@ᑉ
ᖃᓄᖅ	ᖃᓄᖅ
ᐱᓕᕆᕕᐅᔪᒧᑦ	ᐱ@ᓕᕆ@ᕕ@ᐅ@ᔪ@ᒧᑦ
ᐅᔾᔨᕈᓱᓚᐅᖅᑐᑦ	ᐅᔾᔨ@ᕈᓱ@ᓚᐅᖅ@ᑐᑦ
ᓴᖅᑭᑦᑎᔪᓐᓇᕋᒪ	ᓴᖅᑭᑦ@ᑎ@ᔪᓐᓇ@ᕋᒪ
ᐅᖃᖃᐅᒐᒪ	ᐅᖃ@ᖃᐅ@ᒐ@ᒪ
ᐱᓇᓱᐊᕈᓯᖅ	ᐱᓇᓱᐊᕈᓯᖅ
ᐊᑐᖅᑕᐅᔪᓂᒃ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪ@ᓂᒃ
ᐊᕙᑎᒥᐅᑕᓕᕆᓂᕐᒧᑦ	ᐊᕙᑎ@ᒥᐅᑕ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᖃᐅᔨᒪᔪᑦ	ᖃᐅᔨᒪ@ᔪᑦ
ᐅᖃᓚᐅᖅᑐᑦ	ᐅᖃ@ᓚᐅᖅ@ᑐᑦ
ᐱᐊᓂᒍᒪᓪᓗᓂ	ᐱ@ᐊᓂ@ᒍᒪ@ᓪᓗᓂ
ᕿᓂᖅᑐᒍᑦ	ᕿᓂᖅ@ᑐᒍᑦ
ᐱᔨᑦᓯᕋᐅᑎᖃᕐᓂᕐᒧᑦ	ᐱ@ᔨ@ᑦᓯ@ᕋ@ᐅᑎ@ᖃᕐ@ᓂᕐ@ᒧᑦ
ᐊᓯᐊᓂᑦ	ᐊᓯ@ᐊᓂᑦ
ᐱᖁᑎᓂᒃ	ᐱ@ᖁᑎ@ᓂᒃ
ᒥᑦᑎᒪᑕᓕᒻᒥᑦ	ᒥᑦᑎᒪᑕᓕᒻ@ᒥᑦ
ᖃᖓᓕᒫᖅ	ᖃᖓ@ᓕᒫᖅ
ᑕᒪᓐᓇ	ᑕᒪᓐᓇ
ᖃᐅᔨᒪᕗᖅ	ᖃᐅᔨᒪ@ᕗᖅ
ᐃᓱᒪᓕᕆᓂᕐᒧᑦ	ᐃᓱᒪ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐱᓕᕆᕕᐅᔪᒥᒃ	ᐱ@ᓕᕆ@ᕕ@ᐅ@ᔪ@ᒥᒃ
ᑲᒪᒋᔭᐅᒻᒪᑦ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᒻᒪᑦ
ᒥᓂᔅᑕ	ᒥᓂᔅᑕ
ᐊᒪᓗ	ᐊᒪ@ᓗ
ᑕᐃᒪᐃᑎᓪᓗᒍ	ᑕᐃᒪᐃ@ᑎᓪᓗᒍ
ᓱᓇᐅᒻᒪᖔᑕ	ᓱ@ᓇ@ᐅ@ᒻᒪᖔᑕ
ᑭᐅᔪᒪᒍᕕᑦ	ᑭᐅ@ᔪᒪ@ᒍᕕᑦ
ᐊᕐᕌᒍᓕᒫᖅ	ᐊᕐᕌᒍ@ᓕᒫᖅ
ᑕᐃᒃᑯᓄᖓ	ᑕᐃᒃᑯ@ᓄᖓ
ᓴᓂᕋᔭᒃ	ᓴᓂᕋᔭᒃ
ᑲᔪᓯᒋᑦ	ᑲᔪᓯ@ᒋᑦ
ᐃᓗᐊ	ᐃᓗ@ᐊ
ᐱᖁᑎᒋᔭᐅᔪᑦ	ᐱ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᕿᒥᕐᕈᔨᓄᑦ	ᕿᒥᕐᕈ@ᔨ@ᓄᑦ
ᐅᐱᒍᓱᖃᑎᒋᔪᒪᕙᒃᑲ	ᐅᐱ@ᒍᓱ@ᖃᑎ@ᒋ@ᔪᒪ@ᕙ@ᒃᑲ
ᑕᒪᒃᑯᐊ	ᑕᒪᒃᑯᐊ
ᐅᖃᕋᑖᕋᕕᑦ	ᐅᖃ@ᕋᑖ@ᕋᕕᑦ
ᒐᕙᒪᑐᖃᒃᑯᓐᓂᑦ	ᒐᕙᒪ@ᑐᖃ@ᒃᑯᓐ@ᓂᑦ
ᑲᔪᓯᕗᖅ	ᑲᔪᓯ@ᕗᖅ
ᐃᑲᔪᕈᓐᓇᖅᑐᑦ	ᐃᑲᔪ@ᕈᓐᓇᖅ@ᑐᑦ
ᑖᒃᑯᓇᓂ	ᑖᒃᑯ@ᓇᓂ
ᐋᕆᐊᖅ	ᐋᕆᐊᖅ
ᐱᒋᐊᕐᓗᓂ	ᐱ@ᒋᐊᕐ@ᓗᓂ
ᐅᕙᑦᑎᓐᓂᑦ	ᐅᕙ@ᑦᑎᓐᓂᑦ
ᑭᒃᑯᓕᒫᓂᑦ	ᑭᒃᑯ@ᓕᒫ@ᓂᑦ
ᐃᑲᔪᕈᑕᐅᔪᓂᒃ	ᐃᑲᔪ@ᕈᑕ@ᐅ@ᔪ@ᓂᒃ
ᑕᒪᓐᓇᖃᐃ	ᑕᒪᓐᓇ@ᖃᐃ
ᐱᖓᔪᐊᑦ	ᐱᖓᔪᐊᑦ
ᐊᐅᓚᑦᑎᔨᓄᑦ	ᐊᐅᓚᑦ@ᑎ@ᔨ@ᓄᑦ
ᐊᒻᒪᑦᑕᐅᖅ	ᐊᒻᒪ@ᑦᑕᐅᖅ
ᐱᓕᕆᖃᑦᑕᖅᑐᑦ	ᐱ@ᓕᕆ@ᖃᑦᑕᖅ@ᑐᑦ
ᐅᓪᓗᒥᒧᑦ	ᐅᓪᓗᒥ@ᒧᑦ
ᑕᒪᒃᑯᐊᒎᖅ	ᑕᒪᒃᑯᐊ@ᒎᖅ
ᐃᖏᕐᕋᔪᓕᕆᔨᒃᑯᓄᓪᓗ	ᐃᖏᕐᕋ@ᔪ@ᓕᕆ@ᔨ@ᒃᑯ@ᓄᓪ@ᓗ
ᐱᒻᒪᕆᐅᔪᒧᑦ	ᐱ@ᒻᒪᕆ@ᐅ@ᔪ@ᒧᑦ
ᑕᐃᒪᐃᓐᓂᖓᓄ	ᑕᐃᒪᐃᓐ@ᓂ@ᖓᓄ
ᑭᒡᒐᖅᑐᐃᔨ	ᑭᒡᒐᖅ@ᑐ@ᐃ@ᔨ
ᐃᑲᔪᕈᓐᓇᕐᒪᖔᑕ	ᐃᑲᔪ@ᕈᓐᓇᕐ@ᒪᖔᑕ
ᓇᖕᒥᓂᕆᔭᐅᔪᑦ	ᓇᖕᒥᓂ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᖃᒪᓂᑦᑐᐊᕐᒧᑦ	ᖃᒪᓂᑦᑐᐊᕐ@ᒧᑦ
ᑭᐅᔪᓐᓇᕐᒪᑦ	ᑭᐅ@ᔪᓐᓇᕐ@ᒪᑦ
ᐊᕙᑎᓕᕆᔨᒃᑯᓐᓂᑦ	ᐊᕙᑎ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓂᑦ
ᐊᐱᕆᓚᐅᕐᒪᑦ	ᐊᐱᕆ@ᓚᐅᕐ@ᒪᑦ
ᓄᖑᐊᓂ	ᓄᖑ@ᐊ@ᓂ
ᐊᑐᓕᖅᑎᑕᐅᓂᖓᓄᑦ	ᐊᑐ@ᓕᖅ@ᑎ@ᑕ@ᐅ@ᓂ@ᖓᓄᑦ
ᐃᑲᔪᓚᐅᖅᑐᑦ	ᐃᑲᔪ@ᓚᐅᖅ@ᑐᑦ
ᐅᖃᕐᕕᖓᑦ	ᐅᖃᕐ@ᕕ@ᖓᑦ
ᑖᑉᓱᒪ	ᑖᑉᓱ@ᒪ
ᔫᓂ	ᔫᓂ
ᑕᒪᓐᓇᓕ	ᑕᒪᓐᓇ@ᓕ
ᐃᓕᖅᑯᓯᑐᖃᓕᕆᓂᕐᒧᑦ	ᐃᓕᖅᑯᓯ@ᑐᖃ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐱᓕᕆᕕᐊᓂᒃ	ᐱ@ᓕᕆ@ᕕ@ᐊᓂᒃ
ᐅᓪᓗᕐᒧᑦ	ᐅᓪᓗᕐ@ᒧᑦ
ᐊᐃᑉᐱᖅᑕᐅᓪᓗᓂ	ᐊᐃᑉᐱᖅ@ᑕ@ᐅ@ᓪᓗᓂ
ᑕᒪᒃᑯᐊᑦᑕᐅᖅ	ᑕᒪᒃᑯᐊ@ᑦᑕᐅᖅ
ᑕᐅᑐᒃᑐᑦ	ᑕᐅᑐᒃ@ᑐᑦ
ᑭᓯᒥᓕ	ᑭᓯᒥ@ᓕ
ᓇᓕᐊᑐᐃᓐᓇᖅ	ᓇᓕᐊ@ᑐᐃᓐᓇᖅ
ᑲᒪᒋᔭᖃᖅᑐᒧᑦ	ᑲᒪ@ᒋ@ᔭ@ᖃᖅ@ᑐ@ᒧᑦ
ᐱᖓᓱᓄᑦ	ᐱᖓᓱ@ᓄᑦ
ᐃᓕᒃᓯ	ᐃᓕ@ᒃᓯ
ᐊᕙᑎᓕᕆᓂᕐᒧᑦ	ᐊᕙᑎ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐱᒋᐊᖅᑎᑕᐅᔪᑦ	ᐱ@ᒋᐊᖅ@ᑎ@ᑕ@ᐅ@ᔪᑦ
ᑖᒃᑯᓄᖓ	ᑖᒃᑯ@ᓄᖓ
ᐱᙳᐊᕐᕕᒃ	ᐱ@ᙳᐊᕐ@ᕕᒃ
ᑕᓯᓗᒃ	ᑕᓯ@ᓗᒃ
ᐃᑲᔪᖅᑐᐃᕗᑦ	ᐃᑲᔪᖅ@ᑐ@ᐃ@ᕗᑦ
ᓴᓇᔪᓕᕆᔨᒃᑯᓐᓄᑦ	ᓴᓇ@ᔪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓄᑦ
ᑕᕝᕙ	ᑕᕝᕙ
ᐋᓯᑦ	ᐋᓯᑦ
ᐅᕙᑦᑎᓐᓂᒃ	ᐅᕙ@ᑦᑎᓐᓂᒃ
ᐊᖓᔪᖅᑳᕆᔭᐅᔪᓄᑦ	ᐊᖓᔪᖅᑳ@ᕆ@ᔭ@ᐅ@ᔪ@ᓄᑦ
ᐃᕐᓂᖅ	ᐃᕐᓂᖅ
ᐊᕐᓇᖅ	ᐊᕐᓇᖅ
ᖁᔭᓐᓇᒦᕈᒪᒻᒥᔭᒃᑲ	ᖁᔭᓐᓇᒦ@ᕈᒪ@ᒻᒥ@ᔭᒃᑲ
ᓯᑕᒪᓄᑦ	ᓯᑕᒪ@ᓄᑦ
ᑭᓱᓂᑦ	ᑭᓱ@ᓂᑦ
ᐊᐱᕆᕋᑖᕐᒪᑦ	ᐊᐱᕆ@ᕋᑖᕐ@ᒪᑦ
ᒫᔾᔨ	ᒫᔾᔨ
ᒪᐅᖓ	ᒪ@ᐅᖓ
ᑲᓇᑕᒥᑦ	ᑲᓇᑕ@ᒥᑦ
ᐊᑲᐅᔅᓴᖅᑐᑦ	ᐊᑲᐅ@ᔅᓴᖅ@ᑐᑦ
ᓇᒻᒥᓂᖅ	ᓇᒻᒥᓂᖅ
ᑰᒃ	ᑰᒃ
ᐱᖁᔭᒃᓴᖅ	ᐱ@ᖁ@ᔭ@ᒃᓴᖅ
ᐊᖏᖅᑕᐅᔪᒪᖕᒪᑦ	ᐊᖏᖅ@ᑕ@ᐅ@ᔪᒪ@ᖕᒪᑦ
ᓯᕗᓂᐊᒍᑦ	ᓯᕗᓂ@ᐊᒍᑦ
ᐃᓚᒋᔭᐅᓪᓗᓂ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᓪᓗᓂ
ᐃᖅᑭᑦᑑᖅ	ᐃᖅᑭᑦ@ᑑᖅ
ᐱᒋᐊᖅᑎᑕᐅᔪᖃᕐᒪᑦ	ᐱ@ᒋᐊᖅ@ᑎ@ᑕ@ᐅ@ᔪ@ᖃᕐ@ᒪᑦ
ᒐᕙᒪᓕᕆᔨᓄᑦ	ᒐᕙᒪ@ᓕᕆ@ᔨ@ᓄᑦ
ᖃᓄᐃᔅᓴᖏᒃᑯᕕᑦ	ᖃᓄᐃ@ᔅᓴ@ᖏᒃ@ᑯᕕᑦ
ᑭᕙᓪᓕᕐᒥᑦ	ᑭᕙᓪᓕᕐ@ᒥᑦ
ᐃᓚᒋᐊᕈᑎᒃ	ᐃᓚ@ᒋᐊ@ᕈᑎᒃ
ᓴᓇᔭᐅᔪᑦ	ᓴᓇ@ᔭ@ᐅ@ᔪᑦ
ᖃᓄᕐᓗ	ᖃᓄᕐ@ᓗ
ᑕᖅᑭᑕᒫᑦ	ᑕᖅᑭ@ᑕᒫᑦ
ᑭᒃᑯᓐᓂᒃ	ᑭᒃᑯᓐ@ᓂᒃ
ᑲᒪᔨᐅᓪᓗᓂ	ᑲᒪ@ᔨ@ᐅ@ᓪᓗᓂ
ᐱᓕᕆᔨᐅᔪᑦ	ᐱ@ᓕᕆ@ᔨ@ᐅ@ᔪᑦ
ᐊᑖᑕᒐ	ᐊᑖᑕ@ᒐ
ᐃᓕᖕᓄᑦ	ᐃᓕ@ᖕᓄᑦ
ᐱᖓᔪᐊᓐᓄᑦ	ᐱᖓᔪᐊᓐ@ᓄᑦ
ᒪᓕᒃᑐᑦ	ᒪᓕᒃ@ᑐᑦ
ᑖᒃᑯᐊᒎᖅ	ᑖᒃᑯᐊ@ᒎᖅ
ᐅᓪᓗᖅ	ᐅᓪᓗᖅ
ᑕᐃᔭᐅᔪᒥᒃ	ᑕᐃ@ᔭ@ᐅ@ᔪ@ᒥᒃ
ᒐᕙᒪᖓᓂᒃ	ᒐᕙᒪ@ᖓᓂᒃ
ᑐᕌᖓᔪᓄᑦ	ᑐᕌ@ᖓ@ᔪ@ᓄᑦ
ᐱᓕᕆᕕᒋᔭᕋ	ᐱ@ᓕᕆ@ᕕ@ᒋ@ᔭ@ᕋ
ᐃᓚᒋᔭᐅᔪᒧᑦ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᔪ@ᒧᑦ
ᑕᒪᒃᑯᓂᖓᓗ	ᑕᒪᒃᑯ@ᓂᖓ@ᓗ
ᑖᓚ	ᑖᓚ
ᒪᒥᓴᕐᕕᒃ	ᒪᒥ@ᓴᕐ@ᕕᒃ
