ᐃᒡᓗᖁᑎᒋᔭᐅᖕᒪᖔᑕ	ᐃᒡᓗ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᖕᒪᖔᑕ
ᒐᕙᒪᓄ	ᒐᕙᒪ@ᓄ
ᐊᕐᕌᒍᖃᕐᒪᑕ	ᐊᕐᕌᒍ@ᖃᕐ@ᒪᑕ
ᐊᓂᒍᐃᑎᑦᑎᓇᓱᓐᓂᕐᒥᑦ	ᐊᓂ@ᒍ@ᐃ@ᑎᑦ@ᑎ@ᓇᓱᓐ@ᓂᕐ@ᒥᑦ
ᑲᒪᒋᔭᐅᖏᑦᑐᑦ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᖏᑦ@ᑐᑦ
ᐳᔪᓕᕆᓂᕐᒧᓪᓗ	ᐳᔪ@ᓕᕆ@ᓂᕐ@ᒧᓪ@ᓗ
ᓇᔪᖅᑕᐅᕙᓚᐅᖅᑐᑦ	ᓇᔪᖅ@ᑕ@ᐅ@ᕙ@ᓚᐅᖅ@ᑐᑦ
ᑎᕆᒐᓂᐊᖅ	ᑎᕆᒐᓂᐊᖅ
ᐱᕐᓗᐊᕿᒃᐸᑦ	ᐱᕐᓗ@ᐊ@ᕿ@ᒃᐸᑦ
ᑐᓴᖅᑎᑦᑎᑦᑐᓂᐅᒃ	ᑐᓴᖅ@ᑎᑦ@ᑎᑦ@ᑐᓂᐅᒃ
ᐅᕙᒍᒡᒎᖅ	ᐅᕙᒍᒡ@ᒎᖅ
ᑲᔪᓯᑎᑦᑎᔪᓐᓇᕐᓂᕐᒧᑦ	ᑲᔪᓯ@ᑎᑦ@ᑎ@ᔪᓐᓇᕐ@ᓂᕐ@ᒧᑦ
ᐃᓚᒌᓄ	ᐃᓚ@ᒌ@ᓄ
ᒥᓂᔅᑕᒥᓐ	ᒥᓂᔅᑕ@ᒥᓐ
ᓇᒻᒥᓂᖁᑎᓄ	ᓇᒻᒥᓂ@ᖁᑎ@ᓄ
ᐊᐅᓚᑦᑎᔨᐅᒻᒪᑕ	ᐊᐅᓚᑦ@ᑎ@ᔨ@ᐅ@ᒻᒪᑕ
ᐱᔭᐅᒋᐊᕐᒪᑦ	ᐱ@ᔭ@ᐅ@ᒋᐊᕐ@ᒪᑦ
ᑎᑭᕌᕐᔪᒃ	ᑎᑭ@ᕌᕐᔪᒃ
ᐅᖃᕋᓱᐊᖅᑐᒍᑦ	ᐅᖃ@ᕋᓱᐊᖅ@ᑐᒍᑦ
ᓇᓗᓇᐃᔭᐃᒍᑦᑕ	ᓇᓗᓇ@ᐃᔭ@ᐃ@ᒍᑦᑕ
ᑐᕌᕋᓱᓚᐅᕐᒪᑕ	ᑐᕌ@ᕋᓱ@ᓚᐅᕐ@ᒪᑕ
ᑲᒪᔪᓐᓇᓂᐅᔪᓂᑦ	ᑲᒪ@ᔪᓐᓇ@ᓂ@ᐅ@ᔪ@ᓂᑦ
ᐃᓱᒪᒋᔭᖃᑦᑎᐊᓗᐊᒧᑦ	ᐃᓱᒪ@ᒋ@ᔭ@ᖃᑦ@ᑎᐊ@ᓗᐊ@ᒧᑦ
ᖃᐅᔨᒪᕙᓪᓕᐊᒻᒪᑦ	ᖃᐅᔨᒪ@ᕙᓪᓕᐊ@ᒻᒪᑦ
ᐱᒋᐊᕐᒪᑕ	ᐱ@ᒋᐊᕐ@ᒪᑕ
ᐊᐱᖅᑐᓯᖅ	ᐊᐱᖅ@ᑐ@ᓯᖅ
ᖃᐅᔨᒪᓂᖅᑖᐸᓪᓕᐊᓂᖅ	ᖃᐅᔨᒪ@ᓂᖅ@ᑖ@ᐸᓪᓕᐊ@ᓂᖅ
ᐱᖓᓱᓪᓗᐊᓂ	ᐱ@ᖓ@ᓱ@ᓪᓗᐊ@ᓂ
ᑲᑎᕕᒃ	ᑲᑎ@ᕕᒃ
ᐸᕝᕕᓴᒃᐸᑦᑐᑦ	ᐸᕝᕕᓴᒃ@ᐸᑦ@ᑐᑦ
ᐱᐊᓂᖃᑕᐅᔪᑦ	ᐱ@ᐊᓂ@ᖃᑕᐅ@ᔪᑦ
ᕿᓚᓈᓕᖅᐳᑦ	ᕿᓚᓈ@ᓕᖅ@ᐳᑦ
ᐊᑦᔨᒌᖏᒻᒪᑕ	ᐊᑦᔨ@ᒌ@ᖏᒻ@ᒪᑕ
ᐃᖅᑲᓇᐃᔮᖃᕐᐸᒃᑭᕗᖅ	ᐃᖅᑲᓇᐃᔮ@ᖃᕐ@ᐸᒃ@ᑭ@ᕗᖅ
ᐊᐱᕆᔪᖃᕈᒪᑉᐸᑦ	ᐊᐱᕆ@ᔪ@ᖃ@ᕈᒪ@ᑉᐸᑦ
ᐃᓚᐅᔪᓄᑦ	ᐃᓚ@ᐅ@ᔪ@ᓄᑦ
ᑭᓛᒥᑐᑦ	ᑭᓛ@ᒥ@ᑐᑦ
ᐊᓪᓚᑕᐅᒻᒪᑦ	ᐊᓪᓚ@ᑕ@ᐅ@ᒻᒪᑦ
ᓂᕿᐅᒃᓯᒪᖕᒪᑕ	ᓂᕿ@ᐅᒃ@ᓯ@ᒪ@ᖕᒪᑕ
ᖃᐅᔨᒋᐊᖅᑳᕐᓗᓂᐅᒃ	ᖃᐅᔨ@ᒋᐊ@ᖅᑳᕐ@ᓗᓂᐅᒃ
ᐱᕙᓪᓕᐊᓂᐅᔪᓂᒃ	ᐱ@ᕙᓪᓕᐊ@ᓂ@ᐅ@ᔪ@ᓂᒃ
ᖃᐅᔨᒪᖕᒥᒐᑦᑕ	ᖃᐅᔨᒪ@ᖕᒥ@ᒐᑦᑕ
ᓄᒃᑎᕐᓂᕈᒪ	ᓄᒃᑎᕐ@ᓂ@ᕈᒪ
ᐃᓂ	ᐃᓂ
ᐳᓚᕋᖅᑐᖃᖅᑎᓪᓗᒍ	ᐳᓚ@ᕋᖅ@ᑐ@ᖃᖅ@ᑎᓪᓗᒍ
ᒥᕐᓱᓂᕐᒥᑦ	ᒥᕐᓱ@ᓂᕐ@ᒥᑦ
ᓂᕆᐅᒃᑐᒍᒃ	ᓂᕆᐅᒃ@ᑐᒍᒃ
ᓱᑎᒋᕙᓪᓕᐊᑎᓪᓗᒍ	ᓱ@ᑎᒋ@ᕙᓪᓕᐊ@ᑎᓪᓗᒍ
ᐊᑭᖃᓛᕐᒪᖔᑦ	ᐊᑭ@ᖃ@ᓛᕐ@ᒪᖔᑦ
ᓴᓇᓕᕈᓐᓇᖅᑐᑦ	ᓴᓇ@ᓕ@ᕈᓐᓇᖅ@ᑐᑦ
ᓇᓄᓕᕆᔪᑦ	ᓇᓄ@ᓕᕆ@ᔪᑦ
ᐃᑲᔪᖅᐳᖅ	ᐃᑲᔪᖅ@ᐳᖅ
ᑭᒡᒐᓕᒃ	ᑭᒡᒐ@ᓕᒃ
ᑲᒪᒋᔭᔅᓴᐅᓪᓗᓂ	ᑲᒪ@ᒋ@ᔭ@ᔅᓴ@ᐅ@ᓪᓗᓂ
ᐱᓇᓱᒍᑎᓄᑦ	ᐱ@ᓇᓱ@ᒍᑎ@ᓄᑦ
ᐱᔪᒪᓂᕆᔭᐅᔪᓂᑦ	ᐱ@ᔪᒪ@ᓂ@ᕆ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᐱᑐᖃᒃᑯᕕᑦᓴᖅ	ᐱ@ᑐᖃ@ᒃᑯ@ᕕ@ᑦᓴᖅ
ᑐᓴᖅᑕᐅᔪᓐᓇᕋᑉᑕ	ᑐᓴᖅ@ᑕ@ᐅ@ᔪᓐᓇ@ᕋᑉᑕ
ᐊᓯᔾᔨᖅᑕᒥᓂᖅᓯ	ᐊᓯ@ᔾᔨᖅ@ᑕ@ᒥᓂᖅ@ᓯ
ᐱᕙᓪᓕᐊᑎᒋᓂᖃᕐᒪᖔᑦ	ᐱ@ᕙᓪᓕᐊ@ᑎᒋ@ᓂ@ᖃᕐ@ᒪᖔᑦ
ᑲᓇᖕᓇᖓᓂᑦ	ᑲᓇᖕᓇ@ᖓᓂᑦ
ᐊᖏᕈᑕᐅᖁᔭᐅᕗᖅ	ᐊᖏ@ᕈᑕ@ᐅ@ᖁ@ᔭ@ᐅ@ᕗᖅ
ᕿᓂᐅᑎᕕᐅᒃ	ᕿᓂ@ᐅᑎ@ᕕᐅᒃ
ᒐᕙᒪᖃᕐᓂᐅᔪᒧᑦ	ᒐᕙᒪ@ᖃᕐ@ᓂ@ᐅ@ᔪ@ᒧᑦ
ᐱᒋᐊᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᐱ@ᒋᐊᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐅᑕᖅᑭᔪᓐᓇᖏᒻᒪᑕ	ᐅᑕᖅᑭ@ᔪᓐᓇ@ᖏᒻ@ᒪᑕ
ᐊᖏᖅᑕᐅᒻᒪᑕ	ᐊᖏᖅ@ᑕ@ᐅ@ᒻᒪᑕ
ᓱᓇᐅᖕᒪᑕ	ᓱ@ᓇ@ᐅ@ᖕᒪᑕ
ᑭᑐᓄᑦ	ᑭᑐ@ᓄᑦ
ᑲᒪᒋᔭᐅᓛᖅᑐᔅᓴᐅᕗᖅ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᓛᖅ@ᑐᔅᓴ@ᐅ@ᕗᖅ
ᖃᐅᔨᓴᓚᐅᕐᒪᖔᑦ	ᖃᐅᔨ@ᓴ@ᓚᐅᕐ@ᒪᖔᑦ
ᐱᒻᒪᕆᓪᓚᕆᐅᒻᒪ	ᐱ@ᒻᒪᕆ@ᓪᓚᕆ@ᐅ@ᒻᒪ
ᐱᖃᓐᓇᕆᔭᐅᑉᓗᓂᓗ	ᐱᖃᓐᓇᕆᔭ@ᐅ@ᑉᓗᓂ@ᓗ
ᐃᓚᔭᐅᔪᒪᔪᑦ	ᐃᓚ@ᔭ@ᐅ@ᔪᒪ@ᔪᑦ
ᑕᑯᖃᑦᑕᕐᓗᓂ	ᑕᑯ@ᖃᑦᑕᕐ@ᓗᓂ
ᐃᒪᓐᓇᐅᔪᓐᓇᖅᑐᑦ	ᐃᒪᓐᓇ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᑐᙵᓵᕆᔨ	ᑐᙵ@ᓵ@ᕆ@ᔨ
ᐅᓄᓗᐊᓕᖅᑐᑦ	ᐅᓄ@ᓗᐊ@ᓕᖅ@ᑐᑦ
ᐊᐱᕆ	ᐊᐱ@ᕆ
ᓇᓗᓇᐃᑲᐃᓐᓇᕐᓕᐅᒃ	ᓇᓗᓇ@ᐃ@ᑲᐃᓐᓇᕐ@ᓕᐅᒃ
ᐃᖅᑲᕐᑐᐃᔨᐅᓪᓗᓂ	ᐃᖅᑲᕐ@ᑐ@ᐃ@ᔨ@ᐅ@ᓪᓗᓂ
ᐱᕙᓪᓕᐊᓂᐅᓂᖅᓴᐅᓪᓗᓂᓗ	ᐱ@ᕙᓪᓕᐊ@ᓂ@ᐅ@ᓂᖅᓴ@ᐅ@ᓪᓗᓂ@ᓗ
ᑕᕝᕙᐅᓕᕋᐃᒻᒪᑕ	ᑕᕝᕙ@ᐅ@ᓕᕋᐃ@ᒻᒪᑕ
ᐊᐃᐳᕈᒥᒡᒎᖅ	ᐊᐃᐳᕈ@ᒥᒡ@ᒎᖅ
ᖃᐅᔨᓴᖅᑎᒋᔭᐅᔪᑦ	ᖃᐅᔨ@ᓴᖅ@ᑎ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᓇᒡᓕᖕᓇᖅ	ᓇᒡᓕᖕ@ᓇᖅ
ᓇᒻᒥᓂᖃᐅᑎᒋᔭᐅᔪᓄᑦ	ᓇᒻᒥᓂ@ᖃᐅᑎ@ᒋ@ᔭ@ᐅ@ᔪ@ᓄᑦ
ᐃᑲᔪᕈᑕᐅᒐᓱᐊᖅᑐᑦ	ᐃᑲᔪ@ᕈᑕ@ᐅ@ᒐᓱᐊᖅ@ᑐᑦ
ᐃᖏᕐᕋᔪᓕᕆᔨᑎᒍᓪᓗ	ᐃᖏᕐᕋ@ᔪ@ᓕᕆ@ᔨ@ᑎᒍᓪ@ᓗ
ᐊᖓᔪᖅᑳᕆᔭᐅᒻᒪᑦ	ᐊᖓᔪᖅᑳ@ᕆ@ᔭ@ᐅ@ᒻᒪᑦ
ᓴᖅᑭᑦᑎᔪᒪᓪᓗᖓ	ᓴᖅᑭᑦ@ᑎ@ᔪᒪ@ᓪᓗᖓ
ᓂᖅᑐᐃᓂᖃᕆᐊᖅᓱᑎᑦ	ᓂᖅᑐ@ᐃ@ᓂ@ᖃ@ᕆᐊᖅ@ᓱᑎᑦ
ᐱᓕᕆᕕᐅᕙᑦᑐᑦ	ᐱ@ᓕᕆ@ᕕ@ᐅ@ᕙᑦ@ᑐᑦ
ᐱᓕᕆᓛᕐᒪᖔᑕ	ᐱ@ᓕᕆ@ᓛᕐ@ᒪᖔᑕ
ᓄᕕᐅᕆᒥ	ᓄᕕ@ᐅ@ᕆ@ᒥ
ᐃᑭᑕᐅᔪᖃᓚᐅᖅᐳᖅ	ᐃᑭ@ᑕ@ᐅ@ᔪ@ᖃ@ᓚᐅᖅ@ᐳᖅ
ᐊᑭᖏᓂᓗ	ᐊᑭ@ᖏ@ᓂ@ᓗ
ᑭᓇᑐᐃᓐᓇᒧᓪᓘᓐᓃᑦ	ᑭᓇ@ᑐᐃᓐᓇ@ᒧᓪ@ᓘᓐᓃᑦ
ᐅᖃᖅᑲᐅᒻᒥᒐᒪᐃᓛᒃ	ᐅᖃ@ᖅᑲᐅ@ᒻᒥ@ᒐᒪ@ᐃᓛᒃ
ᓴᐳᒻᒥᓯᒪᔪᓐᓇᕐᒪᖔᑦ	ᓴᐳ@ᒻ@ᒥ@ᓯ@ᒪ@ᔪᓐᓇᕐ@ᒪᖔᑦ
ᐊᖑᔭᐅᒍᑎᒃ	ᐊᖑ@ᔭ@ᐅ@ᒍᑎᒃ
ᐃᒻᒧᐊᒍᑦ	ᐃᒻᒧ@ᐊᒍᑦ
ᖃᓪᓕᒥᒻᒪᑦ	ᖃᓪᓕ@ᒥ@ᒻᒪᑦ
ᑕᒪᑐᒪ	ᑕᒪᑐ@ᒪ
ᓇᖏᕈᓐᓇᖅᑎᓪᓗᒋᑦ	ᓇᖏ@ᕈᓐᓇᖅ@ᑎᓪᓗᒋᑦ
ᖃᐅᔨᓴᖅᑕᐅᕙᓪᓕᐊᒻᒪᖔᑕ	ᖃᐅᔨ@ᓴᖅ@ᑕ@ᐅ@ᕙᓪᓕᐊ@ᒻᒪᖔᑕ
ᓇᒃᓯᐅᑎᔭᐅᔪᓐᓇᖅᑐᑦ	ᓇᒃᓯ@ᐅᑎ@ᔭ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐃᓂᖃᐅᑦᑐᑦ	ᐃᓂ@ᖃᐅᑦ@ᑐᑦ
ᐃᓚᒋᐊᕈᑕᐅᒻᒪᑦ	ᐃᓚ@ᒋᐊ@ᕈᑕ@ᐅ@ᒻᒪᑦ
ᐊᒃᑐᐅᔪᓂᒃ	ᐊᒃᑐ@ᐅ@ᔪ@ᓂᒃ
ᓂᕆᐅᒃᑭᕗᖅ	ᓂᕆᐅᒃ@ᑭ@ᕗᖅ
ᖃᐅᔨᒪᔭᖃᓚᐅᕐᒪᑦ	ᖃᐅᔨᒪ@ᔭ@ᖃ@ᓚᐅᕐ@ᒪᑦ
ᐊᐱᕆᓕᕆᕙᐅᒃ	ᐊᐱᕆ@ᓕ@ᕆ@ᕙᐅᒃ
ᐊᐅᓱᐃᑦᑐᖅᑕᐅᖅ	ᐊᐅᓱᐃᑦᑐᖅ@ᑕᐅᖅ
ᐃᓄᑐᐃᓐᓇᒧᓪᓘᓐᓃᑦ	ᐃᓄ@ᑐᐃᓐᓇ@ᒧᓪ@ᓘᓐᓃᑦ
ᑕᑯᔪᒪᒋᕗᑦ	ᑕᑯ@ᔪᒪ@ᒋ@ᕗᑦ
ᐃᑲᔪᖃᑦᑕᕐᓂᑯᕕᓂᐊ	ᐃᑲᔪ@ᖃᑦᑕᕐ@ᓂ@ᑯ@ᕕᓂ@ᐊ
ᐋᖅᑭᔅᓱᐃᕙᒻᒪᑕ	ᐋᖅᑭᔅ@ᓱ@ᐃ@ᕙᒻ@ᒪᑕ
ᑭᐅᒐᖅ	ᑭᐅ@ᒐᖅ
ᑎᒍᐊᕐᓂᕐᒧᑦ	ᑎᒍ@ᐊᕐ@ᓂᕐ@ᒧᑦ
ᐱᒋᐊᕐᓚᐅᕐᒪᖔᑕ	ᐱ@ᒋᐊᕐ@ᓚ@ᐅᕐ@ᒪᖔᑕ
ᑕᐃᔪᒪᒋᕙᕋ	ᑕᐃ@ᔪᒪ@ᒋ@ᕙᕋ
ᓴᓇᖃᑕᐅᓚᐅᕐᒪᑦ	ᓴᓇ@ᖃᑕᐅ@ᓚᐅᕐ@ᒪᑦ
ᐊᑐᓕᖅᑎᑕᐅᓂᕐᒧᑦ	ᐊᑐ@ᓕᖅ@ᑎ@ᑕ@ᐅ@ᓂᕐ@ᒧᑦ
ᖃᐃᖁᔨᒃᑲᓂᕐᓂᐊᖅᐱᑦ	ᖃᐃ@ᖁ@ᔨ@ᒃᑲᓂᕐ@ᓂᐊᖅ@ᐱᑦ
ᐅᖃᕋᑖᕐᒥᔪᖅ	ᐅᖃ@ᕋᑖᕐ@ᒥ@ᔪᖅ
ᐅᒃᐱᕐᓂᖃᖅᑐᑦ	ᐅᒃᐱᕐ@ᓂ@ᖃᖅ@ᑐᑦ
ᐅᖃᒃᑲᓐᓂᐊᕐᔪᒍᓐᓇᖅᐸᐅᒃ	ᐅᖃ@ᒃᑲᓐᓂ@ᐊᕐᔪ@ᒍᓐᓇᖅ@ᐸᐅᒃ
ᑕᐅᑕᐅᑕ	ᑕ@ᐅᑕ@ᐅ@ᑕ
ᐃᒡᓗᑭᒃᓴᕈᑕᐅᕙᒃᑐᑦ	ᐃᒡᓗ@ᑭ@ᒃᓴ@ᕈᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᓴᖅᑭᑕᐅᖕᒪᑦ	ᓴᖅᑭ@ᑕ@ᐅ@ᖕᒪᑦ
ᑕᑯᓇᓱᓕᖅᑐᒍᑦ	ᑕᑯ@ᓇᓱ@ᓕᖅ@ᑐᒍᑦ
ᒥᓂᔅᑕᐅᕝᕕᖃᕐᕕᐅᔪᓂᑦ	ᒥᓂᔅᑕ@ᐅ@ᕝᕕ@ᖃᕐᕕ@ᐅ@ᔪ@ᓂᑦ
ᑲᒪᒋᔭᖃᖅᐸᒻᒪᑕ	ᑲᒪ@ᒋ@ᔭ@ᖃᖅ@ᐸᒻ@ᒪᑕ
ᑕᑯᔭᒐᖃᕐᕕᖃᕐᖓᑕ	ᑕᑯ@ᔭ@ᒐ@ᖃᕐᕕ@ᖃ@ᕐᖓ@ᑕ
ᐊᑲᐅᔪᒻᒪᕆᐅᔪᒥᒃ	ᐊᑲᐅ@ᔪ@ᒻᒪᕆ@ᐅ@ᔪ@ᒥᒃ
ᐱᓕᕆᕚᓪᓕᕈᓐᓇᕆᕕᑕ	ᐱ@ᓕᕆ@ᕚᓪᓕ@ᕈᓐᓇ@ᕆ@ᕕᑕ
ᓇᑉᐸᐃᔪᑦᑕᐅᖅ	ᓇᑉᐸ@ᐃ@ᔪᑦ@ᑕᐅᖅ
ᐅᐸᑦᑕᐅᕙᑦᑐᑦ	ᐅᐸᑦ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᑲᔪᓯᒐᓱᐊᕐᒪᑦ	ᑲᔪᓯ@ᒐᓱᐊᕐ@ᒪᑦ
ᑭᓱᒧᓐ	ᑭᓱ@ᒧᓐ
ᐊᒃᑕᕐᓇᕐᓂᖓᓄᑦ	ᐊᒃᑕᕐ@ᓇᕐ@ᓂ@ᖓᓄᑦ
ᐅᖃᓕᒫᖅᑕᐅᔪᓐᓇᕐᓯᒻᒪᑦ	ᐅᖃ@ᓕᒫᖅ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᓯ@ᒻᒪᑦ
ᑕᑯᔭᒃᓴᓕᐊᖅ	ᑕᑯ@ᔭ@ᒃᓴ@ᓕᐊᖅ
ᐃᓄᒃᓯᒪᙱᑦᑐᑦ	ᐃᓄᒃ@ᓯ@ᒪ@ᙱᑦ@ᑐᑦ
ᓄᖅᑲᖓᑎᑦᑎᒐᓱᓐᓂᕐᒧᑦ	ᓄᖅᑲ@ᖓ@ᑎᑦ@ᑎ@ᒐᓱᓐ@ᓂᕐ@ᒧᑦ
ᐊᐱᕆᕋᑖᕋᕕᓐ	ᐊᐱᕆ@ᕋᑖ@ᕋᕕᓐ
ᑲᒪᒋᔭᐅᑉᐸ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᑉᐸ
ᓄᖅᑲᐸᓪᓕᐊᔪᒪᓕᖅᑐᒍᑦ	ᓄᖅᑲ@ᐸᓪᓕᐊ@ᔪᒪ@ᓕᖅ@ᑐᒍᑦ
ᒥᖅᓱᖅᑎᑕᐅᓂᕐᒧᑦ	ᒥᖅᓱᖅ@ᑎ@ᑕ@ᐅ@ᓂᕐ@ᒧᑦ
ᕿᒥᕐᕈᕕᖃᕐᒥᔪᑦ	ᕿᒥᕐᕈ@ᕕ@ᖃᕐ@ᒥ@ᔪᑦ
ᐃᒡᓗᒋᒍᓂᐅᒃ	ᐃᒡᓗ@ᒋ@ᒍᓂᐅᒃ
ᐅᑎᖅᑎᑕᐅᔪᓐᓇᖅᑐᑦ	ᐅᑎᖅ@ᑎ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐃᒡᓗᖃᕐᕕᐅᔪᓄᑦ	ᐃᒡᓗ@ᖃᕐᕕ@ᐅ@ᔪ@ᓄᑦ
ᓴᖑᓂᐅᕙᓪᓕᐊᔪᓂᒃ	ᓴᖑ@ᓂ@ᐅ@ᕙᓪᓕᐊ@ᔪ@ᓂᒃ
ᖃᐅᔨᓴᖅᑕᐅᓇᓱᒃᐳᖅ	ᖃᐅᔨ@ᓴᖅ@ᑕ@ᐅ@ᓇᓱᒃ@ᐳᖅ
ᑭᒡᒐᑐᖅᑕᐅᔪᓂᑦ	ᑭᒡᒐ@ᑐᖅ@ᑕ@ᐅ@ᔪ@ᓂᑦ
ᖁᕕᐊᓱᖁᔭᒃᑲ	ᖁᕕᐊ@ᓱ@ᖁ@ᔭ@ᒃᑲ
ᖃᐅᔨᒪᒋᐊᕈᒃ	ᖃᐅᔨᒪ@ᒋᐊ@ᕈᒃ
ᑭᒡᒐᖅᑐᐃᔨᐅᓪᓗᓂ	ᑭᒡᒐᖅ@ᑐ@ᐃ@ᔨ@ᐅ@ᓪᓗᓂ
ᑕᐃᒍᐃᖅᑲᐅᒻᒪᑦ	ᑕᐃᒍ@ᐃ@ᖅᑲᐅ@ᒻᒪᑦ
ᐊᔭᐅᕆᒐᓱᓛᕐᓂᖓᓂᒃ	ᐊᔭ@ᐅ@ᕆ@ᒐᓱ@ᓛᕐ@ᓂ@ᖓᓂᒃ
ᖁᕕᐊᓱᒃᐳᓐ	ᖁᕕᐊ@ᓱᒃ@ᐳᓐ
ᑎᒍᐊᕐᒪᑦ	ᑎᒍ@ᐊᕐ@ᒪᑦ
ᐊᒥᐊᒃᑯᒋᔭᐅᔪᓂᑦ	ᐊᒥᐊᒃᑯ@ᒋ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᑕᒪᑐᒥᖓᓕᕆᓂᖅ	ᑕᒪᑐ@ᒥᖓ@ᓕᕆ@ᓂᖅ
ᑕᑯᕋᑖᓚᐅᕋᒪ	ᑕᑯ@ᕋᑖ@ᓚᐅ@ᕋᒪ
ᐃᖏᑦᑐᓐᓇᕐᒪᖔᑕ	ᐃᖏᑦ@ᑐᓐᓇᕐ@ᒪᖔᑕ
ᖃᐅᔨᓴᖅᑕᒥᓂᐅᓪᓗᓂ	ᖃᐅᔨ@ᓴᖅ@ᑕ@ᒥᓂ@ᐅ@ᓪᓗᓂ
ᐅᐸᒐᒃᓴᐅᖕᒪᑦ	ᐅᐸ@ᒐ@ᒃᓴ@ᐅ@ᖕᒪᑦ
ᐃᑳᕈᑦᑕ	ᐃᑳ@ᕈᑦᑕ
ᑐᕌᖅᑐᒃᓴᐅᖕᒪᑕ	ᑐᕌᖅ@ᑐᒃᓴ@ᐅ@ᖕᒪᑕ
ᐱᓇᔫᑎᒋᔭᒥᓂᒃ	ᐱ@ᓇ@ᔫ@ᑎᒋ@ᔭ@ᒥ@ᓂᒃ
ᐊᑕᑦᑎᐊᑐᐊᖅᐸᑕ	ᐊᑕ@ᑦᑎᐊ@ᑐᐊᖅ@ᐸ@ᑕ
ᐅᐱᒍᓱᒍᓐᓇᓂᕐᒧᑦ	ᐅᐱ@ᒍᓱ@ᒍᓐᓇ@ᓂᕐ@ᒧᑦ
ᐅᕙᒻᓄᓪᓗ	ᐅᕙ@ᒻᓄᓪ@ᓗ
ᐊᖏᖅᐲᑦ	ᐊᖏᖅ@ᐲᑦ
ᐊᒃᓱᕈᓐᓇᕐᓂᖓᓂᒃ	ᐊᒃᓱ@ᕈᓐ@ᓇᕐ@ᓂ@ᖓᓂᒃ
ᐊᔪᖅᓴᓗᐊᖃᑦᑕᕐᒪᑕ	ᐊᔪᖅ@ᓴ@ᓗᐊ@ᖃᑦᑕᕐ@ᒪᑕ
ᐋᖅᑭᒃᓱᐃᕙᓪᓕᐊᖕᒪᑕ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᕙᓪᓕᐊ@ᖕᒪᑕ
ᓵᓚᔅᓴᕋᓱᐊᕐᓂᐅᕙᑦᑐᑦ	ᓵᓚ@ᔅᓴ@ᕋᓱᐊᕐ@ᓂ@ᐅ@ᕙᑦ@ᑐᑦ
ᓱᖅᑯᐃᓱᑦᑐᔅᓴᐅᕗᑦ	ᓱᖅᑯᐃ@ᓱᑦ@ᑐᔅᓴ@ᐅ@ᕗᑦ
ᕿᒪᓕᕋᒃᑯ	ᕿᒪ@ᓕ@ᕋᒃᑯ
ᐋᖅᑭᒃᓱᐃᕙᓪᓕᐊᓂᖓᓄᑦ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᕙᓪᓕᐊ@ᓂ@ᖓᓄᑦ
ᑕᐃᒪᐃᒐᔪᒃᐳᒍᑦ	ᑕᐃᒪᐃ@ᒐᔪᒃ@ᐳᒍᑦ
ᑎᑎᖅᑐᒐᖓᓂᒃ	ᑎᑎᖅ@ᑐ@ᒐ@ᖓᓂᒃ
ᐃᒡᓗᖓᓄᓪᓗ	ᐃᒡᓗ@ᖓᓄᓪ@ᓗ
ᑐᕌᖁᔨᓐᓂᕐᒪᖔᑕ	ᑐᕌ@ᖁ@ᔨ@ᓐᓂᕐ@ᒪᖔᑕ
ᐊᐱᕆᒍᑕᐅᖁᔭᐅᓪᓗᓂ	ᐊᐱᕆ@ᒍᑕ@ᐅ@ᖁ@ᔭ@ᐅ@ᓪᓗᓂ
ᐊᐃᑉᐸᕆᔭᐅᕙᑦᑐᑦ	ᐊᐃᑉᐸ@ᕆ@ᔭ@ᐅ@ᕙᑦ@ᑐᑦ
ᓄᐊᑉᐸᓪᓕᐊᖕᒪᖔᑕ	ᓄᐊᑉ@ᐸᓪᓕᐊ@ᖕᒪᖔᑕ
ᑐᓂᔭᐅᕙᒃᐳᒍᑦ	ᑐᓂ@ᔭ@ᐅ@ᕙᒃ@ᐳᒍᑦ
ᐸᐱ	ᐸᐱ
ᐅᖃᑐᐊᕐᒪᑕ	ᐅᖃ@ᑐᐊᕐ@ᒪᑕ
ᑕᐅᑐᒃᑯᕕᐅᒃ	ᑕᐅᑐᒃ@ᑯᕕᐅᒃ
