ᐊᖑᓇᓱᒃᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᖑ@ᓇᓱᒃ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐃᓱᒪᓕᕆᓂᐅᕙᑦᑐᑦ	ᐃᓱᒪ@ᓕᕆ@ᓂ@ᐅ@ᕙᑦ@ᑐᑦ
ᕿᓄᒃᓴᖅᑐᒍᑦ	ᕿᓄ@ᒃᓴᖅ@ᑐᒍᑦ
ᓯᖁᒥᑕᐅᒃᐸᑕ	ᓯᖁᒥ@ᑕ@ᐅ@ᒃᐸᑕ
ᐃᖅᑯᒻᒪᕆᐊᕐᓗᓂ	ᐃᖅᑯ@ᒻᒪᕆ@ᐊᕐ@ᓗᓂ
ᓄᑕᕋᒥᓂᒃ	ᓄ@ᑕ@ᕋ@ᒥ@ᓂᒃ
ᑲᔪᓯᒋᐊᖅᐸᑉᐳᑦ	ᑲᔪᓯ@ᒋᐊᖅ@ᐸᑉ@ᐳᑦ
ᖃᐅᔨᓴᖅᑕᐅᖕᒪᑕ	ᖃᐅᔨ@ᓴᖅ@ᑕ@ᐅ@ᖕᒪᑕ
ᖃᐃᒐᓛᖅᑎᓪᓗᒍ	ᖃᐃ@ᒐ@ᓛᖅ@ᑎᓪᓗᒍ
ᕿᑐᕐᖓᖅ	ᕿᑐᕐᖓᖅ
ᖃᐅᔨᒪᒐᓱᓪᓗᓂ	ᖃᐅᔨᒪ@ᒐᓱᓪ@ᓗᓂ
ᐸᐱ	ᐸᐱ
ᐃᓂᒋᔭᖃᑦᑐᑦ	ᐃᓂ@ᒋ@ᔭ@ᖃᑦ@ᑐᑦ
ᕿᓚᓈᓕᖅᐳᑦ	ᕿᓚᓈ@ᓕᖅ@ᐳᑦ
ᖃᐅᔨᖅᑰᕐᒪᑦ	ᖃᐅᔨ@ᖅᑰᕐ@ᒪᑦ
ᐊᑭᑦᑐᕈᑕᐅᓪᓗᐊᕈᓐᓇᕐᒪᑦ	ᐊᑭ@ᑦᑐ@ᕈᑕ@ᐅ@ᓪᓗᐊ@ᕈᓐᓇᕐ@ᒪᑦ
ᑲᒪᖃᑕᐅᓚᐅᖅᑐᑦ	ᑲᒪ@ᖃᑕᐅ@ᓚᐅᖅ@ᑐᑦ
ᓇᖕᒥᓂᕆᕙᐅᒃ	ᓇᖕᒥᓂ@ᕆ@ᕙᐅᒃ
ᓇᓗᓇᐃᔭᐃᒍᑦᑕ	ᓇᓗᓇ@ᐃᔭ@ᐃ@ᒍᑦᑕ
ᓄᖅᑲᕈᒪᒡᓗᓂ	ᓄᖅᑲ@ᕈᒪ@ᒡᓗᓂ
ᑕᑯᓚᐅᕐᒥᒐᒪ	ᑕᑯ@ᓚᐅᕐ@ᒥ@ᒐᒪ
ᑕᐅᑐᒃᓴᖓ	ᑕᐅᑐᒃ@ᓴ@ᖓ
ᐊᕐᕌᒍᒐᐃᒻᒪᑦ	ᐊᕐᕌᒍ@ᒐ@ᐃᒻ@ᒪᑦ
ᑐᓴᖅᑎᑕᐅᕙᖕᒪᑦ	ᑐᓴᖅ@ᑎ@ᑕ@ᐅ@ᕙᖕ@ᒪᑦ
ᓄᖅᑲᖓᕕᒃ	ᓄᖅᑲ@ᖓ@ᕕᒃ
ᒥᓂᔅᑕᒃᑲᓂᕐᒧᑦ	ᒥᓂᔅᑕ@ᒃᑲᓂᕐ@ᒧᑦ
ᐱᓕᕆᔪᓐᓇᕐᒪᑦ	ᐱ@ᓕᕆ@ᔪᓐᓇᕐ@ᒪᑦ
ᓂᕿᖃᑐᐊᕈᑦᑕ	ᓂᕿ@ᖃ@ᑐᐊ@ᕈᑦᑕ
ᐊᔭᐅᖅᑐᐃᔨᐅᖃᑕᐅᔪᓄᑦ	ᐊᔭ@ᐅᖅ@ᑐ@ᐃ@ᔨ@ᐅ@ᖃᑕᐅ@ᔪ@ᓄᑦ
ᓄᖅᑲᑎᑦᑎᕙᓪᓕᐊᔪᒪᓂᖅ	ᓄᖅᑲ@ᑎᑦ@ᑎ@ᕙᓪᓕᐊ@ᔪᒪ@ᓂᖅ
ᖃᐅᔨᓴᕐᑕᖅᑕᐅᔪᓐᓇᕐᒪᖔᖅ	ᖃᐅᔨ@ᓴᕐ@ᑕᖅ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᒪᖔᖅ
ᖁᕕᐊᓱᓚᐅᖅᐳᑦ	ᖁᕕᐊ@ᓱ@ᓚᐅᖅ@ᐳᑦ
ᐊᔾᔨᒌᖏᓐᓂᖃᕐᒪᑕ	ᐊᔾᔨ@ᒌ@ᖏᓐ@ᓂ@ᖃᕐ@ᒪᑕ
ᓵᓚᑦᓴᖃᑕᐅᓪᓗᓂ	ᓵᓚ@ᑦᓴ@ᖃᑕᐅ@ᓪᓗᓂ
ᐃᓕᖅᑯᓯᖃᕐᒪᑦ	ᐃᓕᖅᑯᓯ@ᖃᕐ@ᒪᑦ
ᐱᖃᑕᐅᑎᑕᐅᔪᓐᓇᕐᒪᖔ	ᐱᖃᑕ@ᐅ@ᑎ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᒪᖔ
ᑕᕐᓂᐊᖅᑐᑦ	ᑕᕐᓂ@ᐊᖅ@ᑐᑦ
ᐅᑎᕈᒪᒻᒪᑕ	ᐅᑎ@ᕈᒪ@ᒻᒪᑕ
ᐃᑲᔪᖅᑕᐅᓇᓱᖃᑦᑕᕐᒥᔪᑦ	ᐃᑲᔪᖅ@ᑕ@ᐅ@ᓇᓱ@ᖃᑦᑕᕐ@ᒥ@ᔪᑦ
ᐱᑐᖃᐅᓂᖅᓴᐅᒻᒪᑕ	ᐱ@ᑐᖃ@ᐅ@ᓂᖅᓴ@ᐅ@ᒻᒪᑕ
ᐱᕋᔭᐃᖃᑦᑕᕐᓂᖅ	ᐱ@ᕋ@ᔭ@ᐃ@ᖃᑦᑕᕐ@ᓂᖅ
ᐱᖓᔪᐊᓐᓄᑦ	ᐱᖓᔪᐊᓐ@ᓄᑦ
ᐃᓚᒌᒃᓴᑯᓐᓂᑦ	ᐃᓚ@ᒌ@ᒃᓴ@ᑯᓐ@ᓂᑦ
ᐋᖅᑭᒃᓱᐃᕙᓪᓕᐊᖕᒪᑕ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᕙᓪᓕᐊ@ᖕᒪᑕ
ᑲᑎᓐᓂᖓᑦ	ᑲᑎᓐ@ᓂ@ᖓᑦ
ᐃᓪᓗᖃᐅᕐᓂᖅᓴᖅ	ᐃᓪᓗ@ᖃᐅᕐ@ᓂᖅᓴᖅ
ᐅᑕᖅᑭᔪᓐᓇᖅᑐᒍᑦ	ᐅᑕᖅᑭ@ᔪᓐᓇᖅ@ᑐᒍᑦ
ᑕᐃᒫᑐᐃᓐᓇᑦᑕᐅᖅ	ᑕᐃᒫ@ᑐᐃᓐᓇᑦ@ᑕᐅᖅ
ᑕᑯᔪᓐᓇᖅᑕᖃᖅᑐᒍᑦ	ᑕᑯ@ᔪᓐᓇᖅ@ᑕ@ᖃᖅ@ᑐᒍᑦ
ᐊᐱᕐᓱᕈᕕᐅᒃ	ᐊᐱᕐ@ᓱ@ᕈᕕᐅᒃ
ᓈᒻᒪᒋᖏᑕᕋᓗᐊᕋ	ᓈᒻᒪ@ᒋ@ᖏ@ᑕ@ᕋᓗᐊ@ᕋ
ᐱᔪᓐᓇᕐᓂᕆᔭᒪ	ᐱ@ᔪᓐᓇᕐ@ᓂ@ᕆ@ᔭ@ᒪ
ᓴᓇᕙᓪᓕᐊᓕᕌᖓᑦᑕ	ᓴᓇ@ᕙᓪᓕᐊ@ᓕ@ᕌᖓᑦᑕ
ᓴᖅᑭᑦᑐᖃᓚᐅᕐᓂᖓᓂᑦ	ᓴᖅᑭᑦ@ᑐ@ᖃ@ᓚᐅᕐ@ᓂ@ᖓᓂᑦ
ᖁᑭᖅᑕᐅᔪᓐᓇᕐᒪᖔᑕ	ᖁᑭᖅ@ᑕ@ᐅ@ᔪᓐᓇᕐ@ᒪᖔᑕ
ᓱᐊᑎ	ᓱ@ᐊ@ᑎ
ᐅᐱᓐᓇᖅᐳᖅ	ᐅᐱᓐ@ᓇᖅ@ᐳᖅ
ᐃᓕᐊᕐᔪᒃ	ᐃᓕᐊᕐᔪᒃ
ᑲᑕᒃ	ᑲᑕᒃ
ᐅᖃᔾᔭᐅᖃᐅᓪᓗᑕ	ᐅᖃ@ᔾᔭ@ᐅ@ᖃᐅ@ᓪᓗᑕ
ᐅᑎᕐᓂᖅ	ᐅᑎᕐ@ᓂᖅ
ᑭᐅᔪᓐᓇᕋᑖᕋᕕᖓ	ᑭᐅ@ᔪᓐᓇ@ᕋᑖ@ᕋᕕᖓ
ᐃᒡᓗᕐᔪᐊᕐᒧᑦ	ᐃᒡᓗ@ᕐᔪᐊᕐ@ᒧᑦ
ᑭᐅᓂᕐᒪ	ᑭᐅ@ᓂᕐ@ᒪ
ᐊᓯᐊᓐᓄᓪᓘᓐᓃᑦ	ᐊᓯ@ᐊᓐᓄᓪ@ᓘᓐᓃᑦ
ᐱᔪᓐᓇᕐᓂᖃᓚᐅᖅᑐᑦ	ᐱ@ᔪᓐᓇᕐ@ᓂ@ᖃ@ᓚᐅᖅ@ᑐᑦ
ᐱᒐᓚᓂ	ᐱ@ᒐᓚ@ᓂ
ᐊᑭᑦᑐᕆᐊᕐᓂᖓᓄᑦ	ᐊᑭ@ᑦᑐ@ᕆᐊᕐ@ᓂ@ᖓᓄᑦ
ᐊᖏᖅᑕᐅᔪᒪᖅᑲᐅᒻᒪᑦ	ᐊᖏᖅ@ᑕ@ᐅ@ᔪᒪ@ᖅᑲᐅ@ᒻᒪᑦ
ᐃᓱᒪᒋᔭᖃᕐᒪᖔᑕ	ᐃᓱᒪ@ᒋ@ᔭ@ᖃᕐ@ᒪᖔᑕ
ᓇᓗᓇᐃᕆᐊᒃᑲᓐᓂᕈᓐᓇᕋᒃᑯ	ᓇᓗᓇ@ᐃ@ᕆᐊ@ᒃᑲᓐᓂ@ᕈᓐᓇ@ᕋᒃᑯ
ᖃᐃᖁᔨᓯᒪᖕᒪᑕ	ᖃᐃ@ᖁ@ᔨ@ᓯ@ᒪ@ᖕᒪᑕ
ᐊᐱᕆᔪᒪᔪᒍᑦ	ᐊᐱᕆ@ᔪᒪ@ᔪᒍᑦ
ᐃᖅᑲᓇᔭᖅᐸᒃᐳᑦ	ᐃᖅᑲ@ᓇ@ᔭᖅ@ᐸᒃ@ᐳᑦ
ᐊᔪᓚᐅᕋᓐᓄᒃ	ᐊᔪ@ᓚᐅ@ᕋᓐᓄᒃ
ᐅᑎᕐᓗᓂ	ᐅᑎᕐ@ᓗᓂ
ᓴᖅᑭᑎᑕᐅᒻᒪᖔᑦ	ᓴᖅᑭ@ᑎ@ᑕ@ᐅ@ᒻᒪᖔᑦ
ᐱᓕᕆᖃᑎᖃᐃᓐᓇᕐᒪᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃ@ᐃᓐᓇᕐ@ᒪᑦ
ᐃᓱᒪᒋᔭᐅᕙᖕᒪᑕ	ᐃᓱᒪ@ᒋ@ᔭ@ᐅ@ᕙᖕ@ᒪᑕ
ᐸᓂᖅᓯᕐᓂᐅᔪᓂᑦ	ᐸᓂᖅ@ᓯᕐ@ᓂ@ᐅ@ᔪ@ᓂᑦ
ᐅᑕᖅᑭᔪᒍᑦ	ᐅᑕᖅᑭ@ᔪᒍᑦ
ᐱᔪᒪᓇᓱᒻᒪᑕᒎᖅ	ᐱ@ᔪᒪ@ᓇᓱᒻ@ᒪᑕ@ᒎᖅ
ᓴᓇᕋᑖᓚᐅᕐᒪᑕ	ᓴᓇ@ᕋᑖ@ᓚᐅᕐ@ᒪᑕ
ᐊᖏᖅᑕᐅᔪᒪᕗᖅ	ᐊᖏᖅ@ᑕ@ᐅ@ᔪᒪ@ᕗᖅ
ᐊᕙᑎᓕᕆᔨᐅᔪᒍᑦ	ᐊᕙᑎ@ᓕᕆ@ᔨ@ᐅ@ᔪᒍᑦ
ᖃᒪᓂᑦᑐᐊᕐᒥᐅᑕᖅ	ᖃᒪᓂᑦᑐᐊᕐ@ᒥᐅᑕᖅ
ᐊᕐᕌᒍᓕᑯᓗᑐᐃᓐᓇᐅᓪᓗᓂ	ᐊᕐᕌᒍ@ᓕ@ᑯᓗ@ᑐᐃᓐᓇ@ᐅ@ᓪᓗᓂ
ᓄᖅᑲᖓᑎᑦᑎᒻᒪᑦ	ᓄᖅᑲ@ᖓ@ᑎᑦ@ᑎ@ᒻᒪᑦ
ᖃᐅᔨᒪᕙᑦᑐᒍᑦ	ᖃᐅᔨᒪ@ᕙᑦ@ᑐᒍᑦ
ᑲᓂᑦ	ᑲᓂᑦ
ᐱᓕᕆᕕᒋᔭᖅᑕ	ᐱ@ᓕᕆ@ᕕ@ᒋ@ᔭᖅ@ᑕ
ᐃᓚᓕᐅᔨᓯᒪᖕᒥᔪᒍᑦ	ᐃᓚ@ᓕ@ᐅ@ᔨ@ᓯ@ᒪ@ᖕᒥ@ᔪᒍᑦ
ᐃᑲᔪᖅᑐᐃᔪᓄᑦ	ᐃᑲᔪᖅ@ᑐ@ᐃ@ᔪ@ᓄᑦ
ᐃᓚᒋᓪᓗᓂᐅ	ᐃᓚ@ᒋ@ᓪᓗᓂᐅ
ᐱᙳᐊᕐᒪᖔᑕ	ᐱ@ᙳᐊᕐ@ᒪᖔᑕ
ᕿᓄᖕᒪᑦ	ᕿᓄ@ᖕᒪᑦ
ᓵᓚᒃᓴᕈᑕᐅᔪᓂᑦ	ᓵᓚ@ᒃᓴ@ᕈᑕ@ᐅ@ᔪ@ᓂᑦ
ᐅᖃᕐᕕᒋᖃᑦᑕᕐᓯᐅᒃ	ᐅᖃᕐ@ᕕ@ᒋ@ᖃᑦᑕᕐ@ᓯᐅᒃ
ᐅᑕᖅᑭᔭᐅᓪᓗᓂᓗ	ᐅᑕᖅᑭ@ᔭ@ᐅ@ᓪᓗᓂ@ᓗ
ᐱᓕᕆᓐᓂᕐᒪᖔᑕ	ᐱ@ᓕᕆ@ᓐᓂᕐ@ᒪᖔᑕ
ᑕᑯᒋᐊᕈᕕᑦ	ᑕᑯ@ᒋᐊ@ᕈᕕᑦ
ᖃᒪᓂᑦᑐᐊᕐᒥᐅᑕᕐᒥᑦ	ᖃᒪᓂᑦᑐᐊᕐ@ᒥᐅᑕᕐ@ᒥᑦ
ᐃᓕᖅᑯᓯᖓᓕ	ᐃᓕᖅᑯᓯ@ᖓ@ᓕ
ᐊᖏᕋᓱᒍᑎᐅᔪᓂᒃ	ᐊᖏ@ᕋᓱ@ᒍᑎ@ᐅ@ᔪ@ᓂᒃ
ᐃᒡᓗᖃᙱᓐᓂᖃᐃ	ᐃᒡᓗ@ᖃ@ᙱᓐ@ᓂ@ᖃᐃ
ᓴᓇᒍᓐᓇᐃᓕᑎᑕᐅᕙᑦ	ᓴᓇ@ᒍᓐᓇ@ᐃ@ᓕ@ᑎ@ᑕ@ᐅ@ᕙᑦ
ᓴᓇᔭᐅᔪᔅᓴᒧᑦ	ᓴᓇ@ᔭ@ᐅ@ᔪᔅᓴ@ᒧᑦ
ᐸᓂᖃᓚᐅᕐᒪᓐ	ᐸᓂ@ᖃ@ᓚᐅᕐ@ᒪᓐ
ᐊᑭᑦᑐᕆᐊᕐᓂᖅᓴᐅᖕᒪᑦ	ᐊᑭ@ᑦᑐ@ᕆᐊᕐ@ᓂᖅᓴ@ᐅ@ᖕᒪᑦ
ᐃᑲᔪᖃᑦᑕᕈᓐᓇᕐᒪᖔᑕ	ᐃᑲᔪ@ᖃᑦᑕ@ᕈᓐᓇᕐ@ᒪᖔᑕ
ᐅᖃᐅᔾᔨᔪᓐᓇᖅᐳᖅ	ᐅᖃ@ᐅᔾ@ᔨ@ᔪᓐᓇᖅ@ᐳᖅ
ᐃᖅᑲᓇᐃᔮᖃᕐᓗᑕ	ᐃᖅᑲᓇᐃᔮ@ᖃᕐ@ᓗᑕ
ᑭᐅᖃᑦᑕᓂᕐᒧᑦ	ᑭᐅ@ᖃᑦᑕ@ᓂᕐ@ᒧᑦ
ᑐᑭᖃᕈᓐᓇᕐᒪᑕ	ᑐᑭ@ᖃ@ᕈᓐᓇᕐ@ᒪᑕ
ᖁᔭᒋᔭᐅᕗᒍᑦ	ᖁᔭ@ᒋ@ᔭ@ᐅ@ᕗᒍᑦ
ᐃᑲᔪᖅᓱᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᐃᑲᔪᖅ@ᓱᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐃᓚᒃᑯᒻᒧᑦ	ᐃᓚ@ᒃᑯᒻ@ᒧᑦ
ᓇᖕᒥᓂᕐᒥᑦ	ᓇᖕᒥᓂᕐ@ᒥᑦ
ᐃᓪᓗᖁᑎᒧᑦ	ᐃᓪᓗ@ᖁᑎ@ᒧᑦ
ᐃᓄᑑᔪᓂᑦ	ᐃᓄ@ᑑ@ᔪ@ᓂᑦ
ᐱᔪᒪᓕᕋᐃᒻᒪᑕ	ᐱ@ᔪᒪ@ᓕᕋᐃ@ᒻᒪᑕ
ᑭᐅᔪᖃᓚᐅᖅᑰᕐᒪᑦ	ᑭᐅ@ᔪ@ᖃ@ᓚᐅ@ᖅᑰᕐ@ᒪᑦ
ᖃᐅᔨᓇᓱᒃᐳᒍᑦ	ᖃᐅᔨ@ᓇᓱᒃ@ᐳᒍᑦ
ᓴᓂᑭᓗᐊᓕᕆᓂᕐᒧᑦ	ᓴᓂᑭᓗᐊ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᑲᒪᒋᔭᖃᖅᑎᓪᓗᒍ	ᑲᒪ@ᒋ@ᔭ@ᖃᖅ@ᑎᓪᓗᒍ
ᑭᐅᑲᐃᓐᓇᕈᓐᓇᕈᕕᐅᒃ	ᑭᐅ@ᑲᐃᓐᓇ@ᕈᓐᓇ@ᕈᕕᐅᒃ
ᑲᔪᓯᔪᓐᓇᕐᒥᖕᒪᑕ	ᑲᔪᓯ@ᔪᓐᓇᕐ@ᒥ@ᖕᒪᑕ
ᑭᐅᔨᖃᐅᕐᒥᒻᒪᑕ	ᑭᐅ@ᔨ@ᖃᐅᕐ@ᒥ@ᒻᒪᑕ
ᑲᔪᓯᔨᐅᓪᓗᐊᕐᒪᖔᑦ	ᑲᔪᓯ@ᔨ@ᐅ@ᓪᓗᐊᕐ@ᒪᖔᑦ
ᖃᒥᒍᓐᓇᕐᓯᕙᑦ	ᖃᒥ@ᒍᓐᓇᕐ@ᓯ@ᕙᑦ
ᐱᕙᓪᓕᐊᔪᓕᕆᔪᖃᑦᑎᓪᓗᒍ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᔪ@ᖃᑦ@ᑎᓪᓗᒍ
ᓴᓇᔭᐅᒻᒪᖔᖅ	ᓴᓇ@ᔭ@ᐅ@ᒻᒪᖔᖅ
ᖃᓄᓪᓚᕆᒃ	ᖃᓄ@ᓪᓚᕆᒃ
ᕿᒥᕐᕈᕙᓪᓕᐊᒻᒪᑦ	ᕿᒥᕐᕈ@ᕙᓪᓕᐊ@ᒻᒪᑦ
ᐊᐅᓚᑦᓯᔨᐊᓄ	ᐊᐅᓚᑦ@ᓯ@ᔨ@ᐊᓄ
ᒪᓕᒍᑎ	ᒪᓕ@ᒍᑎ
ᖃᐅᔨᒋᐊᖅᑕᐅᒻᒪᑦ	ᖃᐅᔨ@ᒋᐊᖅ@ᑕ@ᐅ@ᒻᒪᑦ
ᐅᐊᑦᑎᔨᒧᑦ	ᐅᐊᑦ@ᑎ@ᔨ@ᒧᑦ
ᖃᓄᖅᓯ	ᖃᓄᖅ@ᓯ
ᓇᑉᐸᖅᓗ	ᓇᑉᐸᖅ@ᓗ
ᐊᐅᓚᑦᑎᔪᓐᓇᖅᓯᕙᓪᓕᐊᓂᖅ	ᐊᐅᓚᑦ@ᑎ@ᔪᓐᓇᖅ@ᓯ@ᕙᓪᓕᐊ@ᓂᖅ
ᑲᑎᓐᓂᕐᒥᑦ	ᑲᑎᓐ@ᓂᕐ@ᒥᑦ
ᑕᐅᖅᓯᕋᐅᑎᓂᕐᒧᑦ	ᑕᐅᖅᓯ@ᕋ@ᐅᑎ@ᓂᕐ@ᒧᑦ
ᐳᐃᒍᓚᐅᙱᒻᒪᑦ	ᐳᐃᒍ@ᓚᐅ@ᙱᒻ@ᒪᑦ
ᐱᔭᒃᓴᖃᓚᐅᕐᒪᑕ	ᐱ@ᔭ@ᒃᓴ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᑐᕌᖓᓂᕐᓴᐅᒻᒪᑕ	ᑐᕌ@ᖓ@ᓂᕐᓴ@ᐅ@ᒻᒪᑕ
ᒫᓐᓇᓕᓴᐅᔪᓂᑦ	ᒫᓐᓇ@ᓕᓴ@ᐅ@ᔪ@ᓂᑦ
ᓂᐱᖅᑯᖅᑐᔪᓂᑦ	ᓂᐱ@ᖅᑯᖅᑐ@ᔪ@ᓂᑦ
ᕿᒥᕐᕈᐊᖅᑕᐅᕙᓪᓕᐊᒻᒪᑦ	ᕿᒥᕐᕈ@ᐊᖅ@ᑕ@ᐅ@ᕙᓪᓕᐊ@ᒻᒪᑦ
ᓯᓚᒧᓐ	ᓯᓚ@ᒧᓐ
ᐊᓇ	ᐊᓇ
ᐱᔭᐅᕙᓪᓕᐊᓕᖅᑐᑦ	ᐱ@ᔭ@ᐅ@ᕙᓪᓕᐊ@ᓕᖅ@ᑐᑦ
ᐋᑐᕚᑉ	ᐋᑐᕚ@ᑉ
ᓈᒻᒪᒃᓯᑎᖅᓯᒪᔪᓂᑦ	ᓈᒻᒪᒃ@ᓯ@ᑎᖅ@ᓯ@ᒪ@ᔪ@ᓂᑦ
ᓈᒻᒪᒡᓗᓂ	ᓈᒻᒪᒡ@ᓗᓂ
ᐱᓕᕆᕕᒻᒧᑦ	ᐱ@ᓕᕆ@ᕕᒻ@ᒧᑦ
ᐊᔪᐃᓐᓇᕈᓐᓇᕐᒥᔪᖅ	ᐊᔪ@ᐃᓐᓇ@ᕈᓐᓇᕐ@ᒥ@ᔪᖅ
ᑕᖃᓇᕐᓂᖓᓂᒃ	ᑕᖃ@ᓇᕐ@ᓂ@ᖓᓂᒃ
ᐅᖃᖅᐳᑎᑦ	ᐅᖃᖅ@ᐳᑎᑦ
ᐊᑕᓂᐊ	ᐊᑕᓂ@ᐊ
ᐱᔭᐅᔪᓐᓇᙱᖔᕐᒪᑕ	ᐱ@ᔭ@ᐅ@ᔪᓐᓇᙱ@ᖔᕐ@ᒪᑕ
ᒐᕙᒪᒃᑯᓐᓄᓪᓗᑦᑕᐅᖅ	ᒐᕙᒪ@ᒃᑯᓐ@ᓄᓪ@ᓗ@ᑦᑕᐅᖅ
ᐱᑐᖃᓕᕆᓂᕐᒥᑦ	ᐱ@ᑐᖃ@ᓕᕆ@ᓂᕐ@ᒥᑦ
ᐃᓚᖃᕐᒥᔪᖅ	ᐃᓚ@ᖃᕐ@ᒥ@ᔪᖅ
ᐱᓕᕆᕚᓪᓕᕈᓐᓇᕐᒪᖔᑕ	ᐱ@ᓕᕆ@ᕚᓪᓕ@ᕈᓐᓇᕐ@ᒪᖔᑕ
ᓴᓇᔨᐅᓪᓗᓂᓗ	ᓴᓇ@ᔨ@ᐅ@ᓪᓗᓂ@ᓗ
ᐊᐅᓱᐃᑦᑐᕐᒥᐅᖅ	ᐊᐅᓱᐃᑦᑐᕐ@ᒥᐅᖅ
ᐋᖅᑭᔅᓱᖅᑕᐅᕙᒃᑐᑦ	ᐋᖅᑭᔅ@ᓱᖅ@ᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᐱᓕᕆᖃᑦᑕᕐᒥᔪᖅ	ᐱ@ᓕᕆ@ᖃᑦᑕᕐ@ᒥ@ᔪᖅ
ᑲᔪᓯᖔᕈᓐᓇᕈᕕᑦ	ᑲᔪᓯ@ᖔ@ᕈᓐᓇ@ᕈᕕᑦ
ᐃᑲᔪᖅᑕᐅᔪᒪᒻᒥᒪᑕᑦᑕᐅᖅ	ᐃᑲᔪᖅ@ᑕ@ᐅ@ᔪᒪ@ᒻᒥ@ᒪᑕ@ᑦᑕᐅᖅ
ᐃᑲᔪᖅᑕᐅᔪᒪᓂᖃᖅᑐᑦ	ᐃᑲᔪᖅ@ᑕ@ᐅ@ᔪᒪ@ᓂ@ᖃᖅ@ᑐᑦ
ᓂᓪᓕᕈᒪᔪᖃᕐᒪᖔᑦ	ᓂᓪᓕ@ᕈᒪ@ᔪ@ᖃᕐ@ᒪᖔᑦ
ᑭᒡᒐᖅᑐᖁᔨᔭᒃᑲ	ᑭᒡᒐᖅ@ᑐ@ᖁ@ᔨ@ᔭ@ᒃᑲ
ᓱᓇᒥᒡᒎᖅ	ᓱᓇ@ᒥᒡ@ᒎᖅ
ᐅᐱᒍᓱᖃᑎᒌᓐᓂᕐᒥᑦ	ᐅᐱ@ᒍᓱ@ᖃᑎ@ᒌᓐ@ᓂᕐ@ᒥᑦ
ᑐᑭᖃᕋᓂᓗ	ᑐᑭ@ᖃ@ᕋᓂ@ᓗ
ᐱᑎᓛᖅᑕᒋᑦ	ᐱ@ᑎ@ᓛᖅ@ᑕᒋᑦ
ᐃᒻᒪᖄᒎ	ᐃᒻᒪᖄ@ᒎ
ᐃᑲᔪᖅᓯᔾᔪᑕᐅᔪᓂᒃ	ᐃᑲᔪᖅ@ᓯ@ᔾᔪᑕ@ᐅ@ᔪ@ᓂᒃ
ᓯᐅᕋᖅᑕᕐᓂᖅ	ᓯᐅᕋᖅ@ᑕᕐ@ᓂᖅ
ᖃᒥᓲᓂᒃ	ᖃᒥ@ᓲ@ᓂᒃ
ᓂᓪᓕᕐᕕᐅᔪᓐᓇᖏᒻᒪᑦ	ᓂᓪᓕᕐ@ᕕ@ᐅ@ᔪᓐᓇ@ᖏᒻ@ᒪᑦ
ᐊᑐᖅᑕᐅᔪᓂᒃ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪ@ᓂᒃ
ᐱᖁᔭᕉᖅ	ᐱ@ᖁ@ᔭ@ᕉᖅ
ᑭᕙᓪᓕᐅᒥᑦ	ᑭᕙᓪᓕ@ᐅ@ᒥᑦ
ᖃᐅᔨᒪᔭᑐᖃᐅᔪᑦ	ᖃᐅᔨᒪ@ᔭ@ᑐᖃ@ᐅ@ᔪᑦ
ᐃᓕᓐᓄᓘᓐᓃᑦ	ᐃᓕ@ᓐᓄ@ᓘᓐᓃᑦ
ᓴᕿᐅᑎᓂᐊᕋᑦᑎᒍ	ᓴᕿ@ᐅᑎ@ᓂᐊ@ᕋᑦ@ᑎ@ᒍ
ᓴᓇᔨᓪᓚᕆᐅᓂᕐᒧᑦ	ᓴᓇ@ᔨ@ᓪᓚᕆ@ᐅ@ᓂᕐ@ᒧᑦ
ᐋᖅᑭᒃᓱᐃᔪᓐᓇᕋᒪ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᔪᓐᓇ@ᕋᒪ
ᐅᐸᒍᑎᒋᐅᓚᐅᕋᒪ	ᐅᐸ@ᒍᑎ@ᒋ@ᐅ@ᓚᐅ@ᕋᒪ
ᐱᓕᕆᖃᑎᖃᓚᐅᕐᑐᒍᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃ@ᓚᐅᕐ@ᑐᒍᑦ
ᐱᓕᕆᖃᑦᑕᓕᕐᒪᑕ	ᐱ@ᓕᕆ@ᖃᑦᑕ@ᓕᕐ@ᒪᑕ
ᐊᖏᔪᒻᒪᕆᒻᒪ	ᐊᖏ@ᔪ@ᒻᒪᕆᒻ@ᒪ
