ᖃᖑᖅᐸᓪᓕᐊᓂᖓᓄᑦ	ᖃᖑᖅ@ᐸᓪᓕᐊ@ᓂ@ᖓᓄᑦ
ᓇᒻᒥᓂᕆᔭᐅᔪᓄᑦ	ᓇᒻᒥᓂ@ᕆ@ᔭ@ᐅ@ᔪ@ᓄᑦ
ᓂᕆᐅᖕᓂᖃᓕᕋᒪ	ᓂᕆᐅᖕ@ᓂ@ᖃ@ᓕ@ᕋᒪ
ᐃᓱᒪᕙᑉᐳᑦ	ᐃᓱᒪ@ᕙᑉ@ᐳᑦ
ᖃᐅᔨᓴᓚᐅᕐᒪᖔ	ᖃᐅᔨ@ᓴ@ᓚᐅᕐ@ᒪᖔ
ᖃᐅᔨᓴᖅᑐᖃᖅᐳᖅ	ᖃᐅᔨ@ᓴᖅ@ᑐ@ᖃᖅ@ᐳᖅ
ᐃᓕᓴᕆᔭᐅᔪᒃᓴᐅᑕᐅᔪᑦ	ᐃᓕᓴ@ᕆ@ᔭ@ᐅ@ᔪ@ᒃᓴ@ᐅᑕ@ᐅ@ᔪᑦ
ᐃᓱᒪᙳᐊᕐᓗᑕ	ᐃᓱᒪ@ᙳᐊᕐ@ᓗᑕ
ᐃᓪᓗᕐᔪᐊᒧᑦ	ᐃᓪᓗ@ᕐᔪᐊ@ᒧᑦ
ᐋᖅᑭᓱᖅᑕᐅᔪᒥᒃ	ᐋᖅᑭ@ᓱᖅ@ᑕ@ᐅ@ᔪ@ᒥᒃ
ᑐᕌᖓᒻᒪᖔᑦ	ᑐᕌ@ᖓ@ᒻᒪᖔᑦ
ᖃᖏᐊᒐ	ᖃᖏ@ᐊ@ᒐ
ᐊᑭᑦᑐᕋᐅᑎᓚᐅᕐᖓᑕ	ᐊᑭ@ᑦᑐ@ᕋ@ᐅᑎ@ᓚᐅ@ᕐᖓ@ᑕ
ᐃᓚᖃᑐᐊᖅᐸᑕ	ᐃᓚ@ᖃ@ᑐᐊᖅ@ᐸᑕ
ᐅᖏᔭᐃᓐᓇᖃᑦᑕᕐᒪᑦ	ᐅᖏ@ᔭ@ᐃᓐᓇ@ᖃᑦᑕᕐ@ᒪᑦ
ᐱᔭᐃᓂᕐᒥᑦ	ᐱ@ᔭ@ᐃ@ᓂᕐ@ᒥᑦ
ᑲᔪᓯᓂᖃᑦᓯᐊᐸᓪᓕᐊᒻᒪᑦ	ᑲᔪᓯ@ᓂ@ᖃ@ᑦᓯᐊ@ᐸᓪᓕᐊ@ᒻᒪᑦ
ᖃᐅᔨᒪᑎᑕᐅᕙᑦᑐᑦ	ᖃᐅᔨᒪ@ᑎ@ᑕ@ᐅ@ᕙᑦ@ᑐᑦ
ᐅᑉᐱᕆᓗᒋᑦ	ᐅᑉᐱᕆ@ᓗ@ᒋᑦ
ᑐᓴᒐᒃᓴᐅᑎᑕᐅᕙᒃᑐᑦ	ᑐᓴ@ᒐ@ᒃᓴ@ᐅ@ᑎ@ᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᐱᓕᕆᔪᒪᑉᐸᑕ	ᐱ@ᓕᕆ@ᔪᒪ@ᑉᐸᑕ
ᐃᖏᕐᕋᕙᓪᓕᐊᕗᒍᑦ	ᐃᖏᕐᕋ@ᕙᓪᓕᐊ@ᕗᒍᑦ
ᐅᐱᒋᔪᒪᑐᐃᓐᓇᒧᑦᑕᐅᖅ	ᐅᐱ@ᒋ@ᔪᒪ@ᑐ@ᐃ@ᓐᓇ@ᒧᑦ@ᑕᐅᖅ
ᓇᒻᒥᓂᐅᔪᑦ	ᓇᒻᒥᓂ@ᐅ@ᔪᑦ
ᖁᕕᐊᓱᒃᑐᒃᓴᐅᕗᑦ	ᖁᕕᐊ@ᓱᒃ@ᑐᒃᓴ@ᐅ@ᕗᑦ
ᐊᔭᐅᕆᓗᓂ	ᐊᔭ@ᐅ@ᕆ@ᓗᓂ
ᐊᒻᒪᒪ	ᐊᒻᒪ@ᒪ
ᐋᖅᑭᒋᐊᓯᒪᔪᓂᒃ	ᐋᖅᑭ@ᒋᐊ@ᓯ@ᒪ@ᔪ@ᓂᒃ
ᐋᖅᑭᓛᕐᒪᖔᑕ	ᐋᖅᑭ@ᓛᕐ@ᒪᖔᑕ
ᐃᑲᔪᖅᑐᓪᓚᕆᐅᒻᒪᑦ	ᐃᑲᔪᖅ@ᑐ@ᓪᓚᕆ@ᐅ@ᒻᒪᑦ
ᑕᑯᔭᐅᒐᔪᓐᓂᖅᓴᐅᒻᒪᑕ	ᑕᑯ@ᔭ@ᐅ@ᒐᔪᓐ@ᓂᖅᓴ@ᐅ@ᒻᒪᑕ
ᑭᐅᒍᑎᒃᑲᓐᓂᖅ	ᑭᐅ@ᒍᑎ@ᒃᑲᓐᓂᖅ
ᓇᒻᒥᓂᖁᑎᒋᔭᐅᕗᑦ	ᓇᒻᒥᓂ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᕗᑦ
ᑲᑦᑐᖓᐃᕐᓂᖃᖅᐳᒍᑦ	ᑲᑦᑐᖓ@ᐃᕐ@ᓂ@ᖃᖅ@ᐳᒍᑦ
ᒥᑭᔪᓂᑦ	ᒥᑭ@ᔪ@ᓂᑦ
ᒥᖁᓵᖅ	ᒥ@ᖁ@ᓵᖅ
ᐊᕐᕌᒍᒋᓕᖅᑕᖓᓂᒃ	ᐊᕐᕌᒍ@ᒋ@ᓕᖅ@ᑕ@ᖓᓂᒃ
ᐃᓚᒋᐊᕈᑕᐅᓚᐅᖅᐳᑦ	ᐃᓚ@ᒋᐊ@ᕈᑕ@ᐅ@ᓚᐅᖅ@ᐳᑦ
ᐃᓪᓗᓯᕆᔭᐅᔪᓄᑦ	ᐃᓪᓗ@ᓯ@ᕆ@ᔭ@ᐅ@ᔪ@ᓄᑦ
ᓂᓪᓕᕈᒪᑉᐸᑦ	ᓂᓪᓕ@ᕈᒪ@ᑉᐸᑦ
ᓵᓚᒃᓴᕐᓂᖃᓚᐅᕐᒪᑕ	ᓵᓚ@ᒃᓴᕐ@ᓂ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᐊᔾᔭᖅᑕᐅᓪᓗᓂ	ᐊᔾᔭᖅ@ᑕ@ᐅ@ᓪᓗᓂ
ᓴᓇᔭᐅᒃᐸᑕ	ᓴᓇ@ᔭ@ᐅ@ᒃᐸᑕ
ᓂᐅᕐᕈᑎᖃᕈᓐᓇᕐᓂᕐᒧᑦ	ᓂᐅᕐᕈ@ᑎ@ᖃ@ᕈᓐᓇᕐ@ᓂᕐ@ᒧᑦ
ᐱᓕᕆᑦᑎᐊᖅᑐᒻᒪᕆᐅᒻᒪᑕ	ᐱ@ᓕᕆ@ᑦᑎᐊᖅ@ᑐ@ᒻᒪᕆ@ᐅ@ᒻᒪᑕ
ᐃᓱᒪᒋᒃᑲᓐᓂᕈᔅᓯᐅᒃ	ᐃᓱᒪ@ᒋ@ᒃᑲᓐᓂ@ᕈᔅᓯᐅᒃ
ᐊᒃᓱᕈᓐᓇᖅᐸᒃᑐᑦ	ᐊᒃᓱ@ᕈᓐ@ᓇᖅ@ᐸᒃ@ᑐᑦ
ᑎᑎᕐᓂᑯᑖᖃᐅᙱᓪᓗᓂ	ᑎᑎᕐ@ᓂ@ᑯᑖ@ᖃᐅ@ᙱᓪ@ᓗᓂ
ᒪᑯᓂᖓᒎᖅ	ᒪᑯ@ᓂᖓ@ᒎᖅ
ᑕᐅᕙᒃᑯᐊ	ᑕᐅᕙᒃᑯᐊ
ᐃᓄᖃᖅᑎᓐᓇᒍᓘᓐᓃᑦ	ᐃᓄ@ᖃᖅ@ᑎᓐᓇᒍ@ᓘᓐᓃᑦ
ᑕᑯᕕᓯᐅᒃ	ᑕᑯ@ᕕᓯᐅᒃ
ᐃᑉᐱᒍᓱᒻᒪᖔᑕᓘᓐᓃᑦ	ᐃᑉᐱ@ᒍᓱᒻ@ᒪᖔᑕ@ᓘᓐᓃᑦ
ᐃᖅᑲᖅᑐᐃᕙᓐᓂᕐᒧᑦ	ᐃᖅᑲᖅ@ᑐ@ᐃ@ᕙᓐ@ᓂᕐ@ᒧᑦ
ᐊᑐᕈᓐᓃᖅᑎᑕᐅᓪᓗᓂ	ᐊᑐ@ᕈᓐᓃᖅ@ᑎ@ᑕ@ᐅ@ᓪᓗᓂ
ᓯᕗᓪᓕᐹᓪᓚᕆᐅᒻᒪᑕ	ᓯᕗ@ᓪᓕ@ᐹ@ᓪᓚᕆ@ᐅ@ᒻᒪᑕ
ᐊᑐᖅᑐᐊᕐᒥᒐᔅᓯᐅᒃ	ᐊᑐᖅ@ᑐ@ᐊᕐ@ᒥ@ᒐᔅᓯᐅᒃ
ᓂᕆᐅᒋᔭᐅᒻᒪᑦ	ᓂᕆᐅ@ᒋ@ᔭ@ᐅ@ᒻᒪᑦ
ᑐᑭᒥᐊᕆᓂᕐᒧᑦ	ᑐᑭ@ᒥ@ᐊ@ᕆ@ᓂᕐ@ᒧᑦ
ᖃᐅᔨᒋᐊᖅᑳᕈᒪᓚᐅᕋᒪ	ᖃᐅᔨ@ᒋᐊ@ᖅᑳ@ᕈᒪ@ᓚᐅ@ᕋᒪ
ᑲᔪᓯᓚᐅᖅᑐᑦ	ᑲᔪᓯ@ᓚᐅᖅ@ᑐᑦ
ᒥᔅᑐ	ᒥᔅᑐ
ᓇᒡᓕᖕᓇᖅ	ᓇᒡᓕᖕ@ᓇᖅ
ᑐᕌᖓᔪᓐᓇᕐᒥᔪᖅ	ᑐᕌ@ᖓ@ᔪᓐᓇᕐ@ᒥ@ᔪᖅ
ᐋᓐᓂᑎᖅᑕᐅᕙᑉᐳᑦ	ᐋᓐ@ᓂ@ᑎᖅ@ᑕ@ᐅ@ᕙᑉ@ᐳᑦ
ᓄᑦᑎᕆᔪᓄᑦ	ᓄᑦ@ᑎ@ᕆ@ᔪ@ᓄᑦ
ᐊᑭᓕᔅᓴᐅᕗᖅ	ᐊᑭ@ᓕ@ᔅᓴ@ᐅ@ᕗᖅ
ᐊᔪᖅᓴᓇᒻᒪᑦ	ᐊᔪᖅ@ᓴ@ᓇᒻ@ᒪᑦ
ᐱᕙᓪᓕᐊᒻᒪ	ᐱ@ᕙᓪᓕᐊ@ᒻᒪ
ᓴᓗᒻᒪᐃᒍᓐᓇᕐᒪᖔᖅ	ᓴᓗᒻᒪ@ᐃ@ᒍᓐᓇᕐ@ᒪᖔᖅ
ᓇᒡᓕᒋᓚᐅᕋᒃᑯ	ᓇᒡᓕ@ᒋ@ᓚᐅ@ᕋᒃᑯ
ᓱᒃᑲᐃᒻᒪᑕ	ᓱ@ᒃᑲ@ᐃᒻ@ᒪᑕ
ᐊᐅᓚᑦᑎᓇᓱᐊᕐᒪᖔᖅ	ᐊᐅᓚᑦ@ᑎ@ᓇᓱᐊᕐ@ᒪᖔᖅ
ᐃᓪᓗᖃᕐᓂᕐᒧᓐ	ᐃᓪᓗ@ᖃᕐ@ᓂᕐ@ᒧᓐ
ᐱᒋᔭᐅᓪᓗᓂᓗ	ᐱ@ᒋ@ᔭ@ᐅ@ᓪᓗᓂ@ᓗ
ᑕᑯᒋᐊᕈᕕᐅᒃ	ᑕᑯ@ᒋᐊ@ᕈᕕᐅᒃ
ᓴᖅᑭᑕᐅᕙᓪᓕᐊᔪᓂᒃ	ᓴᖅᑭ@ᑕ@ᐅ@ᕙᓪᓕᐊ@ᔪ@ᓂᒃ
ᓈᒻᒪᖃᑦᑕᖏᓐᓂᖓᓄᑦ	ᓈᒻᒪ@ᖃᑦᑕ@ᖏᓐ@ᓂ@ᖓᓄᑦ
ᓄᑉᐸᑦᑐᑦ	ᓄᑉ@ᐸᑦ@ᑐᑦ
ᓇᒻᒥᓂᖁᑎᒋᔭᐅᒻᒪᑕ	ᓇᒻᒥᓂ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᒻᒪᑕ
ᐅᐱᒍᓱᖏᑦᑐᑦ	ᐅᐱ@ᒍᓱ@ᖏᑦ@ᑐᑦ
ᐱᔪᓐᓇᐅᓂᖃᖓᑕ	ᐱ@ᔪᓐᓇ@ᐅ@ᓂ@ᖃ@ᖓ@ᑕ
ᓇᖕᒥᓂᖃᕋᓱᖕᓂᖅ	ᓇᖕᒥᓂ@ᖃ@ᕋᓱᖕ@ᓂᖅ
ᓯᓚᑦᑐᖅᓴᕐᕕᖓᓄᑦ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕ@ᖓᓄᑦ
ᐊᕐᕌᒍᓄ	ᐊᕐᕌᒍ@ᓄ
ᐊᑭᑦᑐᕋᐅᑎᔪᑦ	ᐊᑭ@ᑦᑐ@ᕋ@ᐅᑎ@ᔪᑦ
ᐃᑲᔪᒃᑲᓐᓂᐊᕐᔪᒍᓐᓇᕐᒪᖔᑦᑕ	ᐃᑲᔪ@ᒃᑲᓐᓂ@ᐊᕐᔪ@ᒍᓐᓇᕐ@ᒪᖔᑦᑕ
ᑲᔪᓯᕙᓪᓕᐊᒻᒪᑕ	ᑲᔪᓯ@ᕙᓪᓕᐊ@ᒻᒪᑕ
ᓇᒻᒥᓂᖅᑖᕋᓱᓪᓗᓂ	ᓇᒻᒥᓂᖅ@ᑖ@ᕋᓱᓪ@ᓗᓂ
ᐱᔭᔅᓴᖃᕐᓂᖓᓄᑦ	ᐱ@ᔭ@ᔅᓴ@ᖃᕐ@ᓂ@ᖓᓄᑦ
ᐅᒃᐱᕈᓱᓚᐅᕐᒪᑕ	ᐅᒃᐱ@ᕈᓱ@ᓚᐅᕐ@ᒪᑕ
ᐋᖅᑭᒋᐊᖅᑕᐅᔪᓐᓇᒪᖔᖅ	ᐋᖅᑭ@ᒋᐊᖅ@ᑕ@ᐅ@ᔪᓐᓇ@ᒪᖔᖅ
ᐱᓕᕆᖃᑎᖃᕐᓗᑎᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃᕐ@ᓗᑎᑦ
ᓇᑉᐸᖅᑕᐅᒐᔭᖅᐳᖅ	ᓇᑉᐸᖅ@ᑕ@ᐅ@ᒐ@ᔭᖅ@ᐳᖅ
ᓂᕆᐅᒋᔭᐅᕙᑦ	ᓂᕆᐅ@ᒋ@ᔭ@ᐅ@ᕙᑦ
ᑲᒪᔨᐅᓚᐅᕈᑦᑕ	ᑲᒪ@ᔨ@ᐅ@ᓚᐅ@ᕈᑦᑕ
ᐃᑎᔪᒥᑦ	ᐃᑎ@ᔪ@ᒥᑦ
ᐃᑲᔪᖅᓱᐃᒐᓱᒻᒪᑦ	ᐃᑲᔪᖅ@ᓱ@ᐃ@ᒐᓱᒻ@ᒪᑦ
ᐊᖏᖅᑎᑕᐅᕝᕕᖃᖅᑐᑦ	ᐊᖏᖅ@ᑎ@ᑕ@ᐅ@ᕝᕕ@ᖃᖅ@ᑐᑦ
ᐃᓂᒋᑲᐃᓐᓇᖅᑕᖓᓂᒃ	ᐃᓂ@ᒋ@ᑲᐃᓐᓇᖅ@ᑕ@ᖓᓂᒃ
ᐃᕐᓂᓱᒃᓯᔨᖃᕐᓂᖅ	ᐃᕐᓂᓱᒃ@ᓯ@ᔨ@ᖃᕐ@ᓂᖅ
ᑐᕌᖅᑎᑕᐅᒃᐸᑕ	ᑐᕌᖅ@ᑎ@ᑕ@ᐅ@ᒃᐸᑕ
ᐅᖃᖏᒻᒪᓘᓐᓃᑦ	ᐅᖃ@ᖏᒻ@ᒪ@ᓘᓐᓃᑦ
ᑕᐃᒪᐃᒻᒪᑕ	ᑕᐃᒪᐃᒻ@ᒪᑕ
ᐊᓪᓚᕝᕕᒋᔭᖓᓄᑦ	ᐊᓪᓚᕝ@ᕕ@ᒋ@ᔭ@ᖓᓄᑦ
ᐃᑲᔪᖅᓱᐃᕚᑦ	ᐃᑲᔪᖅ@ᓱ@ᐃ@ᕚᑦ
ᐃᓱᒪᓚᐅᕐᒪᑦ	ᐃᓱᒪ@ᓚᐅᕐ@ᒪᑦ
ᐃᑲᔪᕐᓂᖃᕐᔪᐊᖅᐸᖕᒪᑕ	ᐃᑲᔪᕐ@ᓂ@ᖃᕐ@ᔪᐊᖅ@ᐸᖕ@ᒪᑕ
ᕿᑎᕐᒥᐅᑕᐅᔪᓄᑦ	ᕿᑎᕐ@ᒥᐅᑕ@ᐅ@ᔪ@ᓄᑦ
ᐱᔪᓐᓇᖅᐳᑦ	ᐱ@ᔪᓐᓇᖅ@ᐳᑦ
ᐊᐅᓚᑦᑎᔨᐅᔪᒥᒃ	ᐊᐅᓚᑦ@ᑎ@ᔨ@ᐅ@ᔪ@ᒥᒃ
ᐊᑭᑦᑐᕈᑕᐅᕙᓪᓕᐊᖕᒪᖔᑦ	ᐊᑭ@ᑦᑐ@ᕈᑕ@ᐅ@ᕙᓪᓕᐊ@ᖕᒪᖔᑦ
ᑎᑭᑉᐸᓪᓕᐊᓕᕐᒥᒻᒪᑦ	ᑎᑭᑉ@ᐸᓪᓕᐊ@ᓕᕐ@ᒥ@ᒻᒪᑦ
ᐊᑐᖅᑕᐅᑉᐸᑦ	ᐊᑐᖅ@ᑕ@ᐅ@ᑉᐸᑦ
ᐃᓂᖃᓚᐅᕐᒪᑕ	ᐃᓂ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᐅᐱᒋᔭᐅᒻᒪᕆᒻᒪᑦ	ᐅᐱ@ᒋ@ᔭ@ᐅ@ᒻᒪᕆᒻ@ᒪᑦ
ᑐᔪᐃᔪᒪᒻᒪᖔᑕ	ᑐᔪ@ᐃ@ᔪᒪ@ᒻᒪᖔᑕ
ᒥᓂᔅᑕᐅᔪᓂᒃ	ᒥᓂᔅᑕ@ᐅ@ᔪ@ᓂᒃ
ᓴᖅᑭᑐᓐᓇᕋᒪ	ᓴᖅᑭ@ᑐ@ᓐᓇ@ᕋᒪ
ᐊᔭᐅᕆᒍᒪᓪᓗᖓ	ᐊᔭ@ᐅ@ᕆ@ᒍᒪ@ᓪᓗᖓ
ᓯᑰᓴ	ᓯᑰᓴ
ᐅᖃᓚᐅᖅᑐᑦ	ᐅᖃ@ᓚᐅᖅ@ᑐᑦ
ᐊᖓᔪᖅᑳᓪᓚᕆᐅᑉᓗᓂ	ᐊᖓᔪᖅᑳ@ᓪᓚᕆ@ᐅ@ᑉᓗᓂ
ᑐᕌᓐᑐᒥᑦ	ᑐᕌᓐᑐ@ᒥᑦ
ᖃᐃᖁᔨᓯᒪᖕᒪᑕ	ᖃᐃ@ᖁ@ᔨ@ᓯ@ᒪ@ᖕᒪᑕ
ᓂᑯᕕᒋᔅᓯᒃ	ᓂᑯᕕ@ᒋᔅᓯᒃ
ᓇᓪᓕᒍᓱᒍᒪᓪᓗᖓ	ᓇᓪᓕ@ᒍᓱ@ᒍᒪ@ᓪᓗᖓ
ᓱᓇᒃᑯᕕᑦ	ᓱ@ᓇᒃ@ᑯᕕᑦ
ᐱᓕᕆᒐᓱᖃᑦᑕᖅᑐᑦ	ᐱ@ᓕᕆ@ᒐᓱ@ᖃᑦᑕᖅ@ᑐᑦ
ᑭᐅᓂᖏᒃᑯᒪ	ᑭᐅ@ᓂ@ᖏᒃ@ᑯᒪ
ᑐᐊᐸᖃᓗᐊᙱᒻᒪᑦ	ᑐᐊᐸ@ᖃ@ᓗᐊ@ᙱᒻ@ᒪᑦ
ᐃᖃᓇᐃᔭᖅᑎᒋᔭᖏᓂ	ᐃᖃᓇᐃ@ᔭᖅ@ᑎ@ᒋ@ᔭ@ᖏ@ᓂ
ᓄᓇᒥᐅᑕᓕᕆᔨ	ᓄᓇ@ᒥᐅᑕ@ᓕᕆ@ᔨ
ᐊᔾᔨᐅᙱᓐᓂᖃᕐᓂᖅ	ᐊᔾᔨ@ᐅ@ᙱᓐ@ᓂ@ᖃᕐ@ᓂᖅ
ᐊᔾᔨᒌᖏᒻᒥᔪᑦ	ᐊᔾᔨ@ᒌ@ᖏᒻ@ᒥ@ᔪᑦ
ᐱᒋᐊᖅᑎᑦᑐᓂᐅᒃ	ᐱ@ᒋᐊᖅ@ᑎᑦ@ᑐᓂᐅᒃ
ᑯᕕᔪᒥᒃ	ᑯᕕ@ᔪ@ᒥᒃ
ᐅᖃᓕᒫᒐᕐᑕᖃᕐᒪᑦ	ᐅᖃ@ᓕᒫ@ᒐᕐ@ᑕ@ᖃᕐ@ᒪᑦ
ᓇᓗᓇᐃᕆᐊᒃᑲᓐᓂᕈᓐᓇᕐᒪᖔᖅᐱᐅᒃ	ᓇᓗᓇ@ᐃ@ᕆᐊ@ᒃᑲᓐᓂ@ᕈᓐᓇᕐ@ᒪᖔᖅᐱᐅᒃ
ᐊᒥᖅᑳᖅᑕᐅᖕᒥᖕᒪᑕ	ᐊᒥ@ᖅᑳᖅ@ᑕ@ᐅ@ᖕᒥ@ᖕᒪᑕ
ᑕᐃᒪᐃᒋᐊᕈᑎᒃ	ᑕᐃᒪᐃ@ᒋᐊ@ᕈᑎᒃ
ᓂᕆᐅᒋᓇᓗᒻᒪᔾᔪᒃ	ᓂᕆᐅ@ᒋ@ᓇ@ᓗᒻ@ᒪᔾᔪᒃ
ᓴᖑᐃᖓᔪᕈᓗᒃ	ᓴᖑ@ᐃ@ᖓ@ᔪ@ᕈᓗᒃ
ᑲᒪᔨᐅᖏᓗᐊᖃᑦᑕᕐᒪᑕ	ᑲᒪ@ᔨ@ᐅ@ᖏ@ᓗᐊ@ᖃᑦᑕᕐ@ᒪᑕ
ᐱᓕᕆᕝᕕᖓᒡᒎᖅ	ᐱ@ᓕᕆ@ᕝᕕ@ᖓᒡ@ᒎᖅ
ᐃᑯᒪᓂᑦ	ᐃᑯᒪ@ᓂᑦ
ᑕᑯᒃᑲᓐᓂᕋᓐᓄᒃ	ᑕᑯ@ᒃᑲᓐᓂ@ᕋᓐᓄᒃ
ᑰᒻᒥᑦ	ᑰᒻ@ᒥᑦ
ᓴᓇᔭᐅᓂᖓᓄ	ᓴᓇ@ᔭ@ᐅ@ᓂ@ᖓᓄ
ᓂᓪᓕᕆᐊᕆᑦ	ᓂᓪᓕ@ᕆᐊ@ᕆᑦ
ᐱᒥᓂᐅᔪᑦ	ᐱ@ᒥᓂ@ᐅ@ᔪᑦ
ᐊᔪᙱᓐᓂᐊᓄᑦ	ᐊᔪ@ᙱᓐ@ᓂ@ᐊᓄᑦ
ᕿᒧᒃᓯᕐᔪᐊᓂᕐᒥᑦ	ᕿᒧᒃ@ᓯᕐ@ᔪᐊ@ᓂᕐ@ᒥᑦ
ᐃᑲᔪᖅᑕᐅᔪᒪᓕᕋᐃᒻᒪᑕ	ᐃᑲᔪᖅ@ᑕ@ᐅ@ᔪᒪ@ᓕᕋᐃ@ᒻᒪᑕ
ᖁᔭᒋᔪᓐᓇᕈᕕᐅᒃ	ᖁᔭ@ᒋ@ᔪᓐᓇ@ᕈᕕᐅᒃ
ᖃᐅᔨᒪᔭᑐᖃᓕᕆᓂᖅ	ᖃᐅᔨᒪ@ᔭ@ᑐᖃ@ᓕᕆ@ᓂᖅ
ᐱᒍᑎᖃᕐᒪᖔᑦ	ᐱ@ᒍᑎ@ᖃᕐ@ᒪᖔᑦ
ᖁᕕᐊᑉᐳᖅ	ᖁᕕᐊᑉ@ᐳᖅ
ᑲᒪᔪᒥᓂᕐᒧᑦ	ᑲᒪ@ᔪ@ᒥᓂᕐ@ᒧᑦ
ᐱᓕᕆᑦᑎᐊᑐᒻᒪᕆᐅᕙᒻᒪᑕ	ᐱ@ᓕᕆ@ᑦᑎᐊ@ᑐ@ᒻᒪᕆ@ᐅ@ᕙᒻ@ᒪᑕ
ᐊᒃᑐᕐᑕᐅᔪᓂᒃ	ᐊᒃᑐᕐ@ᑕ@ᐅ@ᔪ@ᓂᒃ
ᓂᑯᕕᒍᑎᒋᔭᕋ	ᓂᑯᕕ@ᒍᑎ@ᒋ@ᔭ@ᕋ
ᐃᓂᖃᐅᑦᑐᑦ	ᐃᓂ@ᖃᐅᑦ@ᑐᑦ
ᓇᓗᓇᐃᖅᑎᑕᐅᕗᑦ	ᓇᓗᓇ@ᐃᖅ@ᑎ@ᑕ@ᐅ@ᕗᑦ
ᐅᑕᖅᑭᓂᕐᒪᖔᖅ	ᐅᑕᖅᑭ@ᓂᕐ@ᒪᖔᖅ
ᐃᒡᒍᓕᕆᓂᕐᒧᑦ	ᐃᒡᒍ@ᓕ@ᕆ@ᓂᕐ@ᒧᑦ
ᐊᑖᑕᒋᔭᒧᓪᓗ	ᐊᑖᑕ@ᒋ@ᔭ@ᒧᓪ@ᓗ
ᒪᑐᐃᕈᑕᐅᖅᑲᐅᔪᓄᑦ	ᒪᑐ@ᐃ@ᕈᑕ@ᐅ@ᖅᑲᐅ@ᔪ@ᓄᑦ
ᑐᓂᔭᐅᔪᖃᓚᐅᕐᒪᑕ	ᑐᓂ@ᔭ@ᐅ@ᔪ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᑐᙵᕕᐅᖕᒪᑦ	ᑐᙵ@ᕕ@ᐅ@ᖕᒪᑦ
ᖃᐅᔨᓴᕈᑕᐅᓪᓗᓂ	ᖃᐅᔨ@ᓴ@ᕈᑕ@ᐅ@ᓪᓗᓂ
ᖃᐅᔨᒪᓂᖃᐅᕐᒪᑕ	ᖃᐅᔨᒪ@ᓂ@ᖃᐅᕐ@ᒪᑕ
ᑐᕌᒐᒃᓴᖃᑦᑐᑦ	ᑐᕌ@ᒐ@ᒃᓴ@ᖃᑦ@ᑐᑦ
ᐱᓕᕆᖃᑎᖃᕈᓐᓇᕐᓗᑕ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃ@ᕈᓐᓇᕐ@ᓗᑕ
ᐊᒪᐅᕋ	ᐊᒪᐅ@ᕋ
ᖃᐅᔨᓴᖅᑕᐅᔾᔪᑕᐅᔪᓂᒃ	ᖃᐅᔨ@ᓴᖅ@ᑕ@ᐅ@ᔾᔪᑕ@ᐅ@ᔪ@ᓂᒃ
ᑕᑯᖃᑦᑕᖅᑐᑦ	ᑕᑯ@ᖃᑦᑕᖅ@ᑐᑦ
ᑭᐅᕙᑎᑦ	ᑭᐅ@ᕙᑎᑦ
ᐊᓚᒃᑲᐃᔪᒪᔪᓂᒃ	ᐊᓚ@ᒃᑲ@ᐃ@ᔪᒪ@ᔪ@ᓂᒃ
ᐱᕋᔭᑦᑐᓕᕆᔨᒋᔭᐅᔪᑦ	ᐱ@ᕋ@ᔭᑦ@ᑐ@ᓕ@ᕆ@ᔨ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᐲᑐᐊᖅ	ᐲ@ᑐᐊᖅ
ᒪᓕᖕᒪᖔᑦ	ᒪᓕᖕ@ᒪᖔᑦ
ᓂᕿᔅᓴᕋᑖᖅᑐᑦ	ᓂᕿ@ᔅᓴ@ᕋᑖᖅ@ᑐᑦ
ᖁᕕᐊᓱᒃᑯᑦᑕ	ᖁᕕᐊ@ᓱᒃ@ᑯᑦᑕ
ᑎᑭᑦᑐᖃᖅᐸᖕᒪ	ᑎᑭᑦ@ᑐ@ᖃᖅ@ᐸᖕ@ᒪ
ᓇᔪᒐᒃᓴᐅᖕᒪᑦ	ᓇᔪ@ᒐ@ᒃᓴ@ᐅ@ᖕᒪᑦ
ᑕᐃᒃᑯᓄᖓᓗᑦᑕᐅᖅ	ᑕᐃᒃᑯ@ᓄᖓ@ᓗ@ᑦᑕᐅᖅ
ᐃᓪᓗᖃᙱᓐᓂᕐᒧᑦ	ᐃᓪᓗ@ᖃ@ᙱᓐ@ᓂᕐ@ᒧᑦ
ᐊᖑᑕᐅᑉᐸᑦ	ᐊᖑᑕ@ᐅ@ᑉᐸᑦ
ᓇᒻᒥᓂᖁᑎᑖᕆᔭᐅᔪᓄᑦ	ᓇᒻᒥᓂ@ᖁᑎ@ᑖ@ᕆ@ᔭ@ᐅ@ᔪ@ᓄᑦ
